strain	sex	animal_id	age_vaginal_patency_days
PWD/PhJ	f	fem_mouse995	36
PWD/PhJ	f	fem_mouse1036	51
PWD/PhJ	f	fem_mouse994	34
PWD/PhJ	f	fem_mouse999	37
PWD/PhJ	f	fem_mouse996	36
PWD/PhJ	f	fem_mouse997	37
PWD/PhJ	f	fem_mouse998	37
RIIIS/J	f	fem_mouse1046	32
RIIIS/J	f	fem_mouse1044	32
RIIIS/J	f	fem_mouse1047	33
RIIIS/J	f	fem_mouse1045	32
RIIIS/J	f	fem_mouse1048	33
RIIIS/J	f	fem_mouse1049	33
RIIIS/J	f	fem_mouse1052	34
RIIIS/J	f	fem_mouse1050	33
RIIIS/J	f	fem_mouse1053	34
RIIIS/J	f	fem_mouse1043	32
RIIIS/J	f	fem_mouse1038	31
RIIIS/J	f	fem_mouse1041	31
RIIIS/J	f	fem_mouse1040	31
RIIIS/J	f	fem_mouse1039	31
RIIIS/J	f	fem_mouse1042	31
RIIIS/J	f	fem_mouse1051	33
RIIIS/J	f	fem_mouse1055	35
RIIIS/J	f	fem_mouse1054	34
RIIIS/J	f	fem_mouse1037	30
SJL/J	f	fem_mouse1105	44
SJL/J	f	fem_mouse1071	35
SJL/J	f	fem_mouse1102	41
SJL/J	f	fem_mouse1100	41
SJL/J	f	fem_mouse1069	32
SJL/J	f	fem_mouse1070	34
SJL/J	f	fem_mouse1072	36
SJL/J	f	fem_mouse1106	44
SJL/J	f	fem_mouse1073	36
SJL/J	f	fem_mouse1079	37
SJL/J	f	fem_mouse1104	42
SJL/J	f	fem_mouse1076	36
SJL/J	f	fem_mouse1062	22
SJL/J	f	fem_mouse1061	21
SJL/J	f	fem_mouse1077	36
SJL/J	f	fem_mouse1068	32
SJL/J	f	fem_mouse1067	32
SJL/J	f	fem_mouse1063	23
SJL/J	f	fem_mouse1066	24
SJL/J	f	fem_mouse1065	24
SJL/J	f	fem_mouse1064	23
SJL/J	f	fem_mouse1060	21
SJL/J	f	fem_mouse1059	21
SJL/J	f	fem_mouse1058	21
SJL/J	f	fem_mouse1056	20
SJL/J	f	fem_mouse1057	21
SJL/J	f	fem_mouse1101	41
SJL/J	f	fem_mouse1078	36
SJL/J	f	fem_mouse1103	42
SJL/J	f	fem_mouse1075	36
SJL/J	f	fem_mouse1080	37
SJL/J	f	fem_mouse1086	38
SJL/J	f	fem_mouse1087	38
SJL/J	f	fem_mouse1096	40
SJL/J	f	fem_mouse1095	40
SJL/J	f	fem_mouse1088	38
SJL/J	f	fem_mouse1090	38
SJL/J	f	fem_mouse1089	38
SJL/J	f	fem_mouse1099	41
SJL/J	f	fem_mouse1098	41
SJL/J	f	fem_mouse1097	40
SJL/J	f	fem_mouse1085	38
SJL/J	f	fem_mouse1084	38
SJL/J	f	fem_mouse1092	39
SJL/J	f	fem_mouse1083	37
SJL/J	f	fem_mouse1091	38
SJL/J	f	fem_mouse1082	37
SJL/J	f	fem_mouse1081	37
SJL/J	f	fem_mouse1074	36
SJL/J	f	fem_mouse1094	39
SJL/J	f	fem_mouse1093	39
SM/J	f	fem_mouse1119	35
SM/J	f	fem_mouse1118	35
SM/J	f	fem_mouse1126	48
SM/J	f	fem_mouse1117	35
SM/J	f	fem_mouse1112	32
SM/J	f	fem_mouse1125	45
SM/J	f	fem_mouse1107	29
SM/J	f	fem_mouse1108	30
SM/J	f	fem_mouse1110	30
SM/J	f	fem_mouse1109	30
SM/J	f	fem_mouse1111	32
SM/J	f	fem_mouse1121	38
SM/J	f	fem_mouse1120	35
SM/J	f	fem_mouse1123	38
SM/J	f	fem_mouse1122	38
SM/J	f	fem_mouse1124	44
SM/J	f	fem_mouse1113	33
SM/J	f	fem_mouse1116	35
SM/J	f	fem_mouse1115	34
SM/J	f	fem_mouse1114	34
SWR/J	f	fem_mouse1151	26
SWR/J	f	fem_mouse1143	25
SWR/J	f	fem_mouse1150	25
SWR/J	f	fem_mouse1149	25
SWR/J	f	fem_mouse1144	25
SWR/J	f	fem_mouse1142	24
SWR/J	f	fem_mouse1196	33
SWR/J	f	fem_mouse1181	30
SWR/J	f	fem_mouse1145	25
SWR/J	f	fem_mouse1157	27
SWR/J	f	fem_mouse1146	25
SWR/J	f	fem_mouse1179	30
SWR/J	f	fem_mouse1195	33
SWR/J	f	fem_mouse1176	30
SWR/J	f	fem_mouse1177	30
SWR/J	f	fem_mouse1170	29
SWR/J	f	fem_mouse1169	29
SWR/J	f	fem_mouse1174	29
SWR/J	f	fem_mouse1171	29
SWR/J	f	fem_mouse1173	29
SWR/J	f	fem_mouse1178	30
SWR/J	f	fem_mouse1172	29
SWR/J	f	fem_mouse1175	29
SWR/J	f	fem_mouse1160	27
SWR/J	f	fem_mouse1165	28
SWR/J	f	fem_mouse1159	27
SWR/J	f	fem_mouse1164	28
SWR/J	f	fem_mouse1163	27
SWR/J	f	fem_mouse1158	27
SWR/J	f	fem_mouse1147	25
SWR/J	f	fem_mouse1148	25
SWR/J	f	fem_mouse1153	27
SWR/J	f	fem_mouse1162	27
SWR/J	f	fem_mouse1152	27
SWR/J	f	fem_mouse1161	27
SWR/J	f	fem_mouse1166	28
SWR/J	f	fem_mouse1168	29
SWR/J	f	fem_mouse1167	29
SWR/J	f	fem_mouse1133	23
SWR/J	f	fem_mouse1132	23
SWR/J	f	fem_mouse1134	23
SWR/J	f	fem_mouse1136	23
SWR/J	f	fem_mouse1135	23
SWR/J	f	fem_mouse1140	24
SWR/J	f	fem_mouse1139	24
SWR/J	f	fem_mouse1138	24
SWR/J	f	fem_mouse1137	23
SWR/J	f	fem_mouse1141	24
SWR/J	f	fem_mouse1129	23
SWR/J	f	fem_mouse1130	23
SWR/J	f	fem_mouse1131	23
SWR/J	f	fem_mouse1127	23
SWR/J	f	fem_mouse1128	23
SWR/J	f	fem_mouse1194	32
SWR/J	f	fem_mouse1193	31
SWR/J	f	fem_mouse1199	34
SWR/J	f	fem_mouse1191	31
SWR/J	f	fem_mouse1192	31
SWR/J	f	fem_mouse1156	27
SWR/J	f	fem_mouse1189	31
SWR/J	f	fem_mouse1190	31
SWR/J	f	fem_mouse1198	34
SWR/J	f	fem_mouse1155	27
SWR/J	f	fem_mouse1197	33
SWR/J	f	fem_mouse1188	31
SWR/J	f	fem_mouse1187	31
SWR/J	f	fem_mouse1186	31
SWR/J	f	fem_mouse1200	34
SWR/J	f	fem_mouse1185	31
SWR/J	f	fem_mouse1184	31
SWR/J	f	fem_mouse1154	27
SWR/J	f	fem_mouse1183	31
SWR/J	f	fem_mouse1182	30
SWR/J	f	fem_mouse1180	30
WSB/EiJ	f	fem_mouse1236	45
WSB/EiJ	f	fem_mouse1209	34
WSB/EiJ	f	fem_mouse1233	44
WSB/EiJ	f	fem_mouse1232	43
WSB/EiJ	f	fem_mouse1228	42
WSB/EiJ	f	fem_mouse1224	41
WSB/EiJ	f	fem_mouse1225	41
WSB/EiJ	f	fem_mouse1223	41
WSB/EiJ	f	fem_mouse1210	34
WSB/EiJ	f	fem_mouse1226	41
WSB/EiJ	f	fem_mouse1227	42
WSB/EiJ	f	fem_mouse1222	41
WSB/EiJ	f	fem_mouse1229	42
WSB/EiJ	f	fem_mouse1231	43
WSB/EiJ	f	fem_mouse1230	43
WSB/EiJ	f	fem_mouse1238	47
WSB/EiJ	f	fem_mouse1234	44
WSB/EiJ	f	fem_mouse1208	34
WSB/EiJ	f	fem_mouse1237	47
WSB/EiJ	f	fem_mouse1235	44
WSB/EiJ	f	fem_mouse1242	50
WSB/EiJ	f	fem_mouse1241	50
WSB/EiJ	f	fem_mouse1240	48
WSB/EiJ	f	fem_mouse1239	48
WSB/EiJ	f	fem_mouse1205	33
WSB/EiJ	f	fem_mouse1206	33
WSB/EiJ	f	fem_mouse1207	33
WSB/EiJ	f	fem_mouse1219	38
WSB/EiJ	f	fem_mouse1220	38
WSB/EiJ	f	fem_mouse1221	41
WSB/EiJ	f	fem_mouse1217	36
WSB/EiJ	f	fem_mouse1218	37
WSB/EiJ	f	fem_mouse1204	33
WSB/EiJ	f	fem_mouse1201	31
WSB/EiJ	f	fem_mouse1203	33
WSB/EiJ	f	fem_mouse1202	32
WSB/EiJ	f	fem_mouse1212	35
WSB/EiJ	f	fem_mouse1211	34
WSB/EiJ	f	fem_mouse1213	35
WSB/EiJ	f	fem_mouse1214	36
WSB/EiJ	f	fem_mouse1215	36
WSB/EiJ	f	fem_mouse1216	36
