strain	sex	animal_id	age	gait_score
C57L/J	f	00069a2da6	12	3
C57L/J	m	00069a12e5	12	1
C57L/J	m	00068A0703	12	3
C57L/J	m	00068D0B6E	12	3
C57L/J	m	000699f5b2	12	3
C57L/J	m	00069A0019	12	3
C57L/J	m	00069A17A6	12	3
C57L/J	m	00069a1573	12	3
C57L/J	m	00069a21da	12	3
CAST/EiJ	f	00068cd826	12	3
CAST/EiJ	f	00068ce182	12	3
CAST/EiJ	f	00068ce60a	12	3
CAST/EiJ	f	00068ce810	12	3
CAST/EiJ	f	00068cfc12	12	3
CAST/EiJ	f	00068d210a	12	3
CAST/EiJ	f	00068d2329	12	3
CAST/EiJ	m	castm12r	12	2
CAST/EiJ	m	castm5l	12	3
CAST/EiJ	m	castm5n	12	3
CAST/EiJ	m	castm5r	12	3
CAST/EiJ	m	castm6n	12	3
CAST/EiJ	m	castm7n	12	3
CAST/EiJ	m	castm8n	12	3
CBA/J	f	00068af51a	12	2
CBA/J	f	00068af644	12	3
CBA/J	f	00068b05b2	12	3
CBA/J	f	00068b0df9	12	3
CBA/J	f	00068b2790	12	3
CBA/J	f	00068b28f4	12	3
CBA/J	m	00068AF3EB	12	3
CBA/J	m	00068affbd	12	3
CBA/J	m	00068b00fb	12	3
CBA/J	m	00068b03f3	12	3
CBA/J	m	00068b0468	12	3
CBA/J	m	00068b05bf	12	3
CBA/J	m	00068b1933	12	3
DBA/2J	f	00068D0E8F	12	2
DBA/2J	f	00068CD774	12	3
DBA/2J	f	00068D1B42	12	3
DBA/2J	f	00068D3033	12	3
DBA/2J	f	00068D30C7	12	3
DBA/2J	f	00068D4480	12	3
DBA/2J	m	00068b09ed	12	1
DBA/2J	m	00068b2987	12	1
DBA/2J	m	00068AF28B	12	3
DBA/2J	m	00068BOEBO	12	3
DBA/2J	m	00068b03da	12	3
DBA/2J	m	00068b1beb	12	3
FVB/NJ	f	00068AF08C	12	3
FVB/NJ	f	00068af79c	12	3
FVB/NJ	f	00068afb25	12	3
FVB/NJ	f	00068b02ec	12	3
FVB/NJ	f	00068b1db2	12	3
FVB/NJ	f	00068b2732	12	3
FVB/NJ	m	00068AF281	12	3
FVB/NJ	m	00068B2486	12	3
FVB/NJ	m	00068D0C81	12	3
FVB/NJ	m	00068aff29	12	3
FVB/NJ	m	00068b051d	12	3
FVB/NJ	m	00068b150a	12	3
FVB/NJ	m	00068b287b	12	3
FVB/NJ	m	00068b29d4	12	3
KK/HlJ	f	00068af49a	12	3
KK/HlJ	f	00068ced2c	12	3
KK/HlJ	f	00068ceddd	12	3
KK/HlJ	f	00068d042e	12	3
