strain	sex	animal_id	age	HR	PR	QRS	QT	RR	ST
C57BL/6J	m	SC-7528	6	778	28.5	9.7	41.6	77.1	32.4
C57BL/6J	m	SC-7529	6	762	31.2	10.3	44.7	78.7	34.9
C57BL/6J	m	SC-7530	6	765	31.8	10.9	42.8	78.5	32.4
C57BL/6J	m	SC-7531	6	732	30.5	10.2	41.7	82	31.9
C57BL/6J	m	SC-1783	12	743	32.6	11	43.2	80.8	32.7
C57BL/6J	m	SC-1784	12	711	29	10.1	42.7	84.4	33.1
C57BL/6J	m	SC-1785	12	722	30.1	9.8	42	83.1	32.8
C57BL/6J	m	SC-1786	12	767	31.7	10.8	44	78.3	33.7
C57BL/6J	m	SC-1787	12	758	21.1	10.6	41.7	79.2	31.6
C57BL/6J	m	SC-1788	12	729	32.5	11.2	44.9	82.4	34.3
C57BL/6J	m	SC-1789	12	752	32.2	11	43.1	79.8	32.6
C57BL/6J	m	SC-1790	12	749	32.5	10.8	42.9	80.1	32.6
C57BL/6J	m	SC-1926	20	748	20.5	9.2	43.9	80.2	35.2
C57BL/6J	m	SC-1927	20	737	30.9	11.8	44.9	81.4	33.6
C57BL/6J	m	SC-1928	20	730	32.5	10.1	42	82.2	32.4
C57BL/6J	m	SC-1929	20	751	32	10.8	43.2	79.9	32.9
C57BL/6J	m	SC-1930	20	695	33	10.6	48.1	86.3	38
C57BL/6J	m	SC-1931	20	692	34.8	10.3	43.7	86.7	33.9
C57BL/6J	m	SC-1932	20	759	20	9.8	40.6	79.2	31.3
C57BL/6J	m	SC-1933	20	709	25.7	10.5	43.1	84.7	33.1
C57BLKS/J	f	SC-6910	6	669	27.9	10.9	48	89.7	37.6
C57BLKS/J	f	SC-6911	6	710	30.3	10.5	41.1	84.6	31.1
C57BLKS/J	f	SC-6912	6	722	28.1	10.7	43.5	83.1	33.3
C57BLKS/J	f	SC-6913	6	571	34.1	13.3	53.1	108	40.3
C57BLKS/J	f	SC-6914	6	697	29.4	10.7	45.7	86.1	35.5
C57BLKS/J	f	SC-6915	6	699	30.7	10.4	42.2	85.9	32.2
C57BLKS/J	f	SC-6916	6	681	32.6	11.8	45.5	88.1	34.2
C57BLKS/J	f	SC-6917	6	672	28.2	11.5	47.1	89.3	36
C57BLKS/J	f	SC-1956	12	687	31.3	11.9	45.1	87.3	33.7
C57BLKS/J	f	SC-1966	12	740	28.1	10.7	40.7	81.1	30.6
C57BLKS/J	f	SC-1967	12	689	31.1	11.1	44.1	87.1	33.4
C57BLKS/J	f	SC-1968	12	731	28.1	11.2	42.1	82.1	31.4
C57BLKS/J	f	SC-1969	12	674	30.1	10.3	46.3	89	36.5
C57BLKS/J	f	SC-1970	12	742	18.8	11.2	43.6	80.8	33
C57BLKS/J	f	SC-1971	12	699	29.7	11.5	43.4	85.9	32.4
C57BLKS/J	f	SC-1972	12	718	29.8	11.4	41.3	83.6	30.4
C57BLKS/J	f	SC-2057	20	671	31.5	12.4	46.3	89.5	34.4
C57BLKS/J	f	SC-2058	20	679	27.9	11.2	44.6	88.9	33.9
C57BLKS/J	f	SC-2059	20	675	30.6	11.4	40.7	88.9	29.8
C57BLKS/J	f	SC-2060	20	679	26.3	12.3	46.3	88.6	34.5
C57BLKS/J	f	SC-2061	20	682	33.1	11.5	47.5	88	36.5
C57BLKS/J	f	SC-2062	20	703	30.4	12.5	43.8	85.5	31.8
C57BLKS/J	f	SC-2063	20	666	29.8	12.4	43.6	90.1	31.8
C57BLKS/J	f	SC-2064	20	750	27.4	10	40.4	81.8	30.9
C57BLKS/J	m	SC-7195	6	695	34.4	9.8	42.9	86.3	33.6
C57BLKS/J	m	SC-7196	6	730	25	10.2	45.1	82.3	35.4
C57BLKS/J	m	SC-7197	6	749	26.5	12.5	45.7	80.1	33.7
C57BLKS/J	m	SC-7198	6	672	29.7	10.2	47.5	89.4	37.8
C57BLKS/J	m	SC-7200	6	684	31.1	11.9	47.7	87.8	36.2
C57BLKS/J	m	SC-7201	6	764	30.1	11.6	45	78.5	33.9
C57BLKS/J	m	SC-7202	6	746	28.4	10.6	43.3	80.4	33.1
C57BLKS/J	m	SC-1974	12	720	29.7	11.4	45.6	83.4	34.7
C57BLKS/J	m	SC-1975	12	743	28.7	10.6	45.3	80.7	35.2
C57BLKS/J	m	SC-1976	12	731	30.4	11.4	44.8	82	33.9
C57BLKS/J	m	SC-1977	12	786	30.1	11.9	45.5	76.3	34.1
C57BLKS/J	m	SC-1978	12	651	36.5	11.8	46.6	92.2	35.3
C57BLKS/J	m	SC-1979	12	767	31	8.4	43.1	78.3	35.2
C57BLKS/J	m	SC-1980	12	726	29	11.4	46.9	82.6	36
C57BLKS/J	m	SC-1981	12	758	29.2	11.3	45.8	79.2	35
C57BLKS/J	m	SC-2042	20	687	31.4	13.2	46.3	87.4	33.6
C57BLKS/J	m	SC-2043	20	717	29	10.7	44.3	85.6	34.1
C57BLKS/J	m	SC-2044	20	745	25.3	11	41.4	80.6	30.9
C57BLKS/J	m	SC-2066	20	716	19.7	12.1	38.3	85.5	26.7
C57BLKS/J	m	SC-2067	20	731	31.3	11.1	42	82.1	31.5
C57BLKS/J	m	SC-2068	20	606	37.7	11.9	48.6	99	37.2
C57BLKS/J	m	SC-2069	20	724	30.8	12.4	44.9	82.9	33
C57BLKS/J	m	SC-2070	20	634	31.1	13.8	50.6	94.7	37.3
C57BR/cdJ	f	SC-7439	6	747	31.6	10.9	40	80.3	29.6
C57BR/cdJ	f	SC-7440	6	750	32.4	11.5	45.1	80	34.1
C57BR/cdJ	f	SC-7441	6	726	32.3	10.6	43	82.7	32.9
C57BR/cdJ	f	SC-7445	6	693	33.5	11.8	45.2	86.7	34
C57BR/cdJ	f	SC-7446	6	704	33	11.3	41.3	85.2	30.5
C57BR/cdJ	f	SC-7447	6	732	29.6	11.1	42.6	82	32
C57BR/cdJ	f	SC-7448	6	750	31.1	11.1	41.6	80.1	31
C57BR/cdJ	f	000699fef3	12	762	31.7	11.5	40.5	78.7	29.4
C57BR/cdJ	f	00069a0316	12	705	33.6	10.6	43	85.2	32.9
C57BR/cdJ	f	00069a07dc	12	749	32.6	11.5	45.5	80.1	34.6
C57BR/cdJ	f	00069a10fd	12	763	27.5	11.9	43.1	78.7	31.7
C57BR/cdJ	f	00069a1779	12	743	32.8	11.1	44.4	80.7	33.8
C57BR/cdJ	f	00069a24c7	12	700	32.7	11.5	42.2	85.8	31.2
C57BR/cdJ	f	SC-2186	20	654	36.4	11.9	45.1	91.8	33.6
C57BR/cdJ	f	SC-2187	20	730	24.5	11.2	44.7	82.2	34
C57BR/cdJ	f	SC-2188	20	673	35.8	12.2	45.2	89.2	33.5
C57BR/cdJ	f	SC-2189	20	718	25.2	10.4	41.6	83.5	31.7
C57BR/cdJ	f	SC-2190	20	688	28.2	10.8	42.5	87.3	32.2
C57BR/cdJ	f	SC-2191	20	742	23.2	10.9	43	80.8	32.6
C57BR/cdJ	f	SC-2192	20	731	24.9	10.7	41.6	82.1	31.4
C57BR/cdJ	f	SC-2193	20	757	30.1	11.2	40.6	79.3	30
C57BR/cdJ	m	SC-7457	6	738	31.6	11	44.9	81.3	34.4
C57BR/cdJ	m	SC-7450	6	730	28	11.1	44.7	82.4	34.1
C57BR/cdJ	m	SC-7451	6	791	30.8	10.9	38.3	75.9	27.9
C57BR/cdJ	m	SC-7452	6	732	33.2	11.8	45.4	82	34.1
C57BR/cdJ	m	SC-7453	6	733	31.6	11.2	43.6	81.9	32.8
C57BR/cdJ	m	SC-7455	6	734	32	11.1	41.6	81.9	30.9
C57BR/cdJ	m	SC-7449	6	763	31.8	10.8	42.8	78.6	32.5
C57BR/cdJ	m	SC-2153	12	740	31.7	12.1	41.4	81.1	29.7
C57BR/cdJ	m	SC-2154	12	739	25.3	12.1	43.9	82.4	32.2
C57BR/cdJ	m	SC-2140	12	762	30.4	11.1	41.7	78.7	31.2
C57BR/cdJ	m	SC-2150	12	742	32.4	11.8	44	80.9	32.6
C57BR/cdJ	m	SC-2151	12	752	30	11.5	44.6	79.8	33.6
C57BR/cdJ	m	SC-2152	12	730	28.9	11.5	43.1	82.2	32.1
C57BR/cdJ	m	00069a1307	12	738	25.9	11.5	43.4	81.3	32.3
C57BR/cdJ	m	00069a21ba	12	746	31.4	11.4	43.6	81.5	32.8
C57BR/cdJ	m	SC-2198	20	692	33.9	11.2	44	86.7	33.3
C57BR/cdJ	m	SC-2199	20	727	30.1	10.5	44.5	82.6	34.5
C57BR/cdJ	m	SC-2200	20	718	24.3	10.1	39.8	83.6	30.1
C57BR/cdJ	m	SC-2201	20	733	29.8	10.9	41.5	81.9	31.1
C57BR/cdJ	m	SC-2202	20	712	33.5	10.3	43.1	84.2	33.4
C57BR/cdJ	m	SC-2203	20	722	25	10.5	41.2	83.1	31.2
C57BR/cdJ	m	SC-2204	20	740	30.3	11.5	43.9	81.4	32.9
C57BR/cdJ	m	SC-2205	20	733	25.8	11	42.1	81.8	31.6
C57L/J	f	SC-7307	6	753	32.4	11.5	43.5	79.7	32.5
C57L/J	f	SC-7308	6	745	32.7	10.3	42.6	80.5	32.8
C57L/J	f	SC-7309	6	766	31.8	10.6	41	78.3	31
C57L/J	f	SC-7310	6	754	30.2	10.4	41.1	79.6	31.1
C57L/J	f	SC-7311	6	722	33.4	10.5	43.5	83.2	33.5
C57L/J	f	SC-7312	6	700	29.5	10.2	42.9	85.8	33.3
C57L/J	f	SC-7313	6	734	29.1	10.5	42.3	81.9	32.4
C57L/J	f	SC-7314	6	734	26.5	10.1	42.7	81.8	33
C57L/J	f	SC-2316	12	686	24	10.6	42.4	87.5	32.3
C57L/J	f	SC-2317	12	696	32.9	9.7	46.6	86.2	37.4
C57L/J	f	SC-2318	12	661	33.4	13.1	45.8	90.8	33.2
C57L/J	f	SC-2319	12	731	31.9	10.8	43.4	82.1	33.1
C57L/J	f	SC-2320	12	685	32.9	12.2	43.9	87.7	32.3
C57L/J	f	SC-2321	12	675	34	11.3	43.4	89.1	32.6
C57L/J	f	SC-2322	12	668	21.2	12.7	45.5	90	33.4
C57L/J	f	SC-2431	20	677	29	13	46.1	88.6	33.6
C57L/J	f	SC-2432	20	629	35.9	12.5	47.9	95.6	35.9
C57L/J	f	SC-2435	20	738	29.4	11.4	46.9	81.4	36.1
C57L/J	f	SC-2436	20	690	30.6	12	45	87	33.5
C57L/J	f	SC-2437	20	692	24.3	11.1	43.1	86.8	32.6
C57L/J	f	SC-2440	20	633	35.1	12.2	43.7	95	32
C57L/J	m	SC-7269	6	749	31.9	10.6	40.9	80.1	30.7
C57L/J	m	SC-7270	6	749	30.7	10	39.5	80.2	30.1
C57L/J	m	SC-7271	6	746	30.4	10.9	41.6	80.4	31.2
C57L/J	m	SC-7272	6	763	31.6	10.4	41.3	78.7	31.4
C57L/J	m	SC-7273	6	728	29.4	10.3	43	82.4	33.2
C57L/J	m	SC-7274	6	703	32	10.1	41.8	85.4	32.1
C57L/J	m	SC-7275	6	750	31.6	10.1	43.9	80.1	34.4
C57L/J	m	SC-7276	6	686	33	9.9	42.1	87.5	32.6
C57L/J	m	SC-2324	12	709	32.5	10.7	42.1	84.7	31.9
C57L/J	m	SC-2325	12	698	33.2	9.9	42.8	86	33.4
C57L/J	m	SC-2326	12	732	28.8	11.4	44.8	82	33.9
C57L/J	m	SC-2327	12	654	33.9	11.8	46.7	91.8	35.4
C57L/J	m	SC-2328	12	698	33.2	10.7	44.8	86	34.6
C57L/J	m	SC-2329	12	774	31.5	11.6	43.5	77.6	32.4
C57L/J	m	SC-2330	12	721	26.9	10.4	43.8	83.3	34
C57L/J	m	SC-2331	12	713	24.5	9.9	41.8	84.3	32.3
C57L/J	m	SC-2442	20	732	22.9	9.7	43.3	82	34.1
C57L/J	m	SC-2443	20	684	31.4	11.3	48.2	87.8	37.4
C57L/J	m	SC-2444	20	738	23	10.7	40.9	81.3	30.7
C57L/J	m	SC-2445	20	686	33.1	11.4	43.7	87.5	32.8
C57L/J	m	SC-2446	20	735	22.5	9.8	43.4	81.7	34.1
C57L/J	m	SC-2447	20	686	22.6	10.8	43.4	87.5	33.2
C57L/J	m	SC-2448	20	724	29.4	10.7	42.9	83	32.7
C57L/J	m	SC-2449	20	697	23.5	10.9	38.6	86.1	28.2
C57L/J	m	SC-2450	20	686	22.2	10	43.3	87.5	33.8
CBA/J	f	SC-7155	6	772	19.6	8.1	38.3	77.8	30.7
CBA/J	f	SC-7156	6	657	29.1	11.9	46.8	91.4	35.4
CBA/J	f	SC-7157	6	747	31.3	11.2	41.5	80.3	30.8
CBA/J	f	SC-7158	6	792	23.7	10.9	42.4	76	32
CBA/J	f	SC-7159	6	739	27.8	10.4	42.5	81.3	32.6
CBA/J	f	SC-7160	6	737	30.6	11.3	42	81.4	31.2
CBA/J	f	SC-7162	6	769	19.8	8.3	40	78.8	32.3
CBA/J	f	SC-2470	12	728	19.8	9.4	38.9	82.4	30
CBA/J	f	SC-2471	12	744	27.6	12.4	41.8	80.7	29.9
CBA/J	f	SC-2472	12	684	29.8	11.3	49.1	87.8	38.3
CBA/J	f	SC-2473	12	738	30.3	12.9	47	81.3	34.6
CBA/J	f	SC-2474	12	670	32	12	47.8	89.5	36.4
CBA/J	f	SC-2475	12	765	29.5	10.6	40.9	78.4	30.8
CBA/J	f	SC-2476	12	653	31.7	12.1	45.7	92	34.1
CBA/J	f	SC-2477	12	762	31.8	11.7	41.9	78.7	30.7
CBA/J	f	SC-2588	20	734	32.7	11	44	81.8	33.5
CBA/J	f	SC-2589	20	772	31	10.2	39.7	77.7	30
CBA/J	f	SC-2590	20	769	18.2	9.6	40.6	78	31.5
CBA/J	f	SC-2591	20	751	24.4	14.1	43.9	80	30.4
CBA/J	f	SC-2592	20	734	33	12	45	81.7	33.5
CBA/J	f	SC-2593	20	746	29.2	10.2	40.3	80.8	30.6
CBA/J	f	SC-2594	20	719	31	10.9	44.9	83.4	34.5
CBA/J	f	SC-2595	20	731	31.4	13	45.5	82.2	33
CBA/J	f	SC-2596	20	684	34.1	11	43	87.7	32.6
CBA/J	m	SC-7165	6	749	19.8	8.2	44.2	80.1	36.5
CBA/J	m	SC-7166	6	782	30.2	10.7	43	76.7	32.8
CBA/J	m	SC-7167	6	796	17.3	9.1	39.8	75.4	31.3
CBA/J	m	SC-7168	6	746	29.2	10.5	42.8	80.9	32.8
CBA/J	m	SC-7169	6	783	30.2	10.3	41.1	77	31.3
CBA/J	m	SC-7170	6	748	28.8	11.1	43	80.2	32.5
CBA/J	m	SC-7171	6	769	29.9	11	44.4	78.5	34
CBA/J	m	SC-7172	6	773	27.5	10.6	43.3	77.7	33.2
CBA/J	m	SC-2485	12	734	29.3	13.3	44.8	81.7	32.1
CBA/J	m	SC-2486	12	782	29.6	10.8	41	76.8	30.6
CBA/J	m	SC-2487	12	685	30.5	11.2	51.5	87.6	40.9
CBA/J	m	SC-2488	12	791	30.6	10.3	42.3	75.9	32.5
CBA/J	m	SC-2489	12	WD	20	8.6	33.7	58.9	25.6
CBA/J	m	SC-2490	12	750	32.5	12.8	43.2	80	31
CBA/J	m	SC-2491	12	651	32.6	11.7	50.9	92.2	39.7
CBA/J	m	SC-2492	12	696	32.6	12.6	44.3	86.4	32.2
CBA/J	m	SC-2602	20	762	18.4	10.6	35.5	78.7	25.4
CBA/J	m	SC-2603	20	746	23.5	14	46.7	80.4	33.3
CBA/J	m	SC-2604	20	671	35.6	12.3	47.7	89.5	35.9
CBA/J	m	SC-2605	20	754	32	10.3	44.2	79.6	34.4
CBA/J	m	SC-2606	20	677	33.5	13.6	45.5	88.7	32.4
CBA/J	m	SC-2607	20	724	28.5	11.6	46.1	82.9	35
CBA/J	m	SC-2608	20	694	31	14.9	47.8	86.4	33.4
CBA/J	m	SC-2609	20	671	27.2	12.9	53	104	40.5
DBA/2J	f	SC-7055	6	700	18.7	9.5	41.2	85.7	32.1
DBA/2J	f	SC-7056	6	733	33.3	12.9	45.5	81.9	33.1
DBA/2J	f	SC-7057	6	715	29.2	11.4	40.9	84.4	30
DBA/2J	f	SC-7058	6	715	33.9	13.3	40.4	83.9	27.7
DBA/2J	f	SC-7059	6	729	28.6	11.7	45.2	82.3	34
DBA/2J	f	SC-7060	6	686	16.6	9.6	40.5	87.5	31.4
DBA/2J	f	SC-7061	6	714	29.2	12.1	42.8	85.4	31.3
DBA/2J	f	SC-7062	6	700	17.6	8.9	43.8	85.8	35.4
DBA/2J	f	SC-2627	12	722	29.1	10.7	41.9	83.1	31.7
DBA/2J	f	SC-2628	12	717	28.6	12.4	45.5	83.7	33.5
DBA/2J	f	SC-2629	12	679	35.8	11.9	44.9	88.3	33.4
DBA/2J	f	SC-2630	12	687	32	12.3	40.1	87.3	28.3
DBA/2J	f	SC-2631	12	706	34.4	12.7	42.5	85	30.3
DBA/2J	f	SC-2632	12	724	21.4	12.6	40.5	83.2	28.4
DBA/2J	f	SC-2633	12	694	22.4	13	41.3	89	28.8
DBA/2J	f	SC-2733	20	700	16.2	9.7	44.1	85.7	34.8
DBA/2J	f	SC-2734	20	721	20	9.1	43	83.2	34.4
DBA/2J	f	SC-2735	20	708	16.9	10.2	43.4	84.8	33.7
DBA/2J	f	SC-2736	20	680	34.7	12.7	42.1	88.2	29.9
DBA/2J	f	SC-2737	20	691	19.7	9.2	47.8	87.9	39.1
DBA/2J	f	SC-2740	20	685	31.4	9.9	42.4	87.6	33
DBA/2J	f	SC-2741	20	717	18.8	10.1	41.1	83.7	31.5
DBA/2J	m	SC-7534	6	772	17.9	9	38.1	77.7	29.6
DBA/2J	m	SC-7535	6	746	32.7	12.1	42.5	80.4	31
DBA/2J	m	SC-7536	6	723	32.9	12.2	39.5	83.3	27.9
DBA/2J	m	SC-7537	6	743	18.3	9.4	37.4	80.7	28.6
DBA/2J	m	SC-7538	6	725	33	12.1	42.7	82.9	31
DBA/2J	m	SC-7539	6	770	16.9	9.3	37.1	77.9	28.3
DBA/2J	m	SC-7540	6	725	33.1	8.4	40.9	82.8	33
DBA/2J	m	SC-7541	6	662	16.5	10.3	45.4	90.6	35.6
DBA/2J	m	SC-2611	12	680	27.7	13.1	44.7	88.3	32.1
DBA/2J	m	SC-2612	12	739	31.5	12	43.6	81.2	32.1
DBA/2J	m	SC-2613	12	743	30.9	9.9	40.6	80.9	31.2
DBA/2J	m	SC-2621	12	731	27.2	12.3	42.5	82.4	30.7
DBA/2J	m	SC-2623	12	636	37.3	13.9	48.4	94.7	35
DBA/2J	m	SC-2624	12	804	29.8	11.7	40.1	80.5	28.9
DBA/2J	m	SC-2616	12	774	18.4	13.2	42.7	78.1	30
DBA/2J	m	SC-2617	12	769	29.1	10.6	41.9	78	31.8
DBA/2J	m	SC-2743	20	698	28.8	12.3	46.4	85.9	34.6
DBA/2J	m	SC-2744	20	776	28.3	11.2	43.8	82	33.1
DBA/2J	m	SC-2745	20	742	28.4	11.3	42	80.9	31.1
DBA/2J	m	SC-2748	20	707	32	8.7	40.9	84.9	32.7
DBA/2J	m	SC-6474	20	688	29.8	8.9	39	87.2	30.6
DBA/2J	m	SC-6863	20	675	32.9	11.9	46	88.9	34.6
FVB/NJ	f	SC-7730	6	792	26.6	10.6	40.4	75.8	30.4
FVB/NJ	f	SC-7731	6	793	16.7	7.8	40.4	75.7	33.2
FVB/NJ	f	SC-7732	6	816	24.4	9.8	37.2	73.5	27.9
FVB/NJ	f	SC-7733	6	734	19.7	9.8	43.4	81.7	34.1
FVB/NJ	f	SC-7734	6	740	24	10.5	45.1	81.1	35.1
FVB/NJ	f	SC-7735	6	727	25.4	10	43.7	82.6	34.3
FVB/NJ	f	SC-7736	6	776	24.5	10.1	40	77.3	30.5
FVB/NJ	f	SC-7737	6	786	26.5	10.1	40.1	76.4	30.5
FVB/NJ	f	SC-2762	12	789	26.8	10.4	37.3	76.3	27.5
FVB/NJ	f	SC-2763	12	752	26.4	10	43.2	80	33.7
FVB/NJ	f	SC-2764	12	706	27.4	9.3	39.9	85	31.1
FVB/NJ	f	SC-2765	12	694	31.8	9.9	44.2	86.6	34.8
FVB/NJ	f	SC-2766	12	707	25.5	11	43	84.9	32.5
FVB/NJ	f	SC-2767	12	637	26.6	12.1	48.7	94.4	37.1
FVB/NJ	f	SC-2768	12	611	27.3	12.1	49.9	98.9	38.3
FVB/NJ	f	SC-2769	12	762	25.2	10.1	38.1	78.8	28.4
FVB/NJ	f	SC-2891	20	596	25.3	12.5	49.5	101	37.5
FVB/NJ	f	SC-2892	20	704	25.4	11.2	43.9	86.5	33.2
FVB/NJ	f	SC-2893	20	729	28	10.9	42.8	82.3	32.4
FVB/NJ	f	SC-2895	20	754	27.1	10.8	42.8	79.6	32.5
FVB/NJ	f	SC-2897	20	772	24.3	11	40.1	77.8	29.6
FVB/NJ	f	SC-2898	20	621	28.1	9.4	44.5	96.8	35.6
FVB/NJ	f	SC-2899	20	675	27.9	11.3	46.3	89	35.5
FVB/NJ	m	SC-7175	6	772	26.5	10.4	40.2	77.7	30.3
FVB/NJ	m	SC-7177	6	796	26.7	10	39.3	75.3	29.7
FVB/NJ	m	SC-7178	6	775	28.5	10.9	37.9	77.4	27.5
FVB/NJ	m	SC-7179	6	756	26.2	10.8	38.9	79.3	28.6
FVB/NJ	m	SC-7180	6	760	25.6	11	41.3	79	30.7
FVB/NJ	m	SC-7181	6	793	28.9	9.8	40.4	75.7	31.1
FVB/NJ	m	SC-7182	6	813	27	10.2	37.6	73.8	27.8
FVB/NJ	m	SC-2777	12	782	20.5	9.4	38.1	79.2	29.3
FVB/NJ	m	SC-2778	12	806	23.9	9.8	39.9	74.5	30.6
FVB/NJ	m	SC-2779	12	758	25.1	10.9	44.1	79.1	33.6
FVB/NJ	m	SC-2780	12	663	30.7	10.6	43.4	90.6	33.3
FVB/NJ	m	SC-2781	12	768	27.7	13	43.6	78.1	31.1
FVB/NJ	m	SC-2752	12	780	25.5	10.4	42.2	77.1	32.3
FVB/NJ	m	SC-2753	12	657	30.5	12.3	48	91.4	36.2
FVB/NJ	m	SC-2754	12	713	26.9	10.8	45.7	84.2	35.4
FVB/NJ	m	SC-2887	20	640	27.5	12.4	47.8	93.9	35.9
FVB/NJ	m	SC-2888	20	706	28.9	11.6	43.5	85	32.4
FVB/NJ	m	SC-2889	20	771	26.5	9.3	39.1	77.9	30.3
FVB/NJ	m	SC-2890	20	713	26	10.8	43.6	84.1	33.3
FVB/NJ	m	SC-2900	20	695	23.7	11.7	42.3	86.3	31.1
FVB/NJ	m	SC-2901	20	618	32.5	12.3	47.3	97.1	35.5
FVB/NJ	m	SC-2902	20	764	28.8	11.7	42.7	78.5	31.5
KK/HlJ	f	SC-7562	6	734	30.2	10.7	40.1	81.8	29.9
KK/HlJ	f	SC-7563	6	716	31.9	10.9	41.7	83.9	31.3
KK/HlJ	f	SC-7564	6	734	27.6	10.7	44.4	81.8	34.1
KK/HlJ	f	SC-7565	6	721	26.3	8.5	44.9	83.2	36.9
KK/HlJ	f	SC-7566	6	693	30.1	10.9	46.2	86.6	35.8
KK/HlJ	f	SC-7567	6	749	28.2	12	42.3	80.1	30.8
KK/HlJ	f	SC-7568	6	740	31	12.4	41.5	81.1	29.6
KK/HlJ	f	SC-7569	6	734	30.8	14	48.3	81.8	34.8
KK/HlJ	f	SC-2945	12	704	26.8	10.5	41.1	85.3	31.1
KK/HlJ	f	SC-2946	12	740	28	9.5	38.9	81.1	29.9
KK/HlJ	f	SC-2947	12	716	27.5	9.7	47.2	83.8	38
KK/HlJ	f	SC-2948	12	748	25.8	10.7	38.7	80.2	28.4
KK/HlJ	f	SC-2953	12	713	28.3	9.9	41.2	84.2	31.8
KK/HlJ	f	SC-2954	12	708	27.9	10.1	45	84.8	35.4
KK/HlJ	f	SC-2955	12	716	29.3	10.4	42.3	83.9	32.4
KK/HlJ	f	SC-2956	12	704	28.8	10.9	42.2	85.3	31.8
KK/HlJ	f	SC-3021	20	692	33.3	10.5	44.6	86.7	34.7
KK/HlJ	f	SC-3022	20	731	27.3	11.3	44.8	82.1	34
KK/HlJ	f	SC-3033	20	730	32.8	9.6	43.7	82.2	34.6
KK/HlJ	f	SC-3034	20	684	27	10.8	48	87.8	37.7
KK/HlJ	f	SC-3035	20	656	27	12.7	51.3	91.5	39.2
KK/HlJ	f	SC-2992	20	702	29	14.5	42.5	87	28.5
KK/HlJ	m	SC-7550	6	789	28.2	9.5	35.6	76.1	26.6
KK/HlJ	m	SC-7551	6	700	23.5	8.9	46.2	86	37.8
KK/HlJ	m	SC-7552	6	750	29.2	11.2	45.3	80	34.6
KK/HlJ	m	SC-7553	6	722	30	10.1	41.1	83.1	31.4
KK/HlJ	m	SC-7554	6	755	30.1	11.4	39.7	79.4	28.8
KK/HlJ	m	SC-7555	6	749	25.1	9.6	41.1	80.1	32
KK/HlJ	m	SC-7556	6	773	28.6	10.8	44.9	77.6	34.6
KK/HlJ	m	SC-7557	6	737	27.4	12.3	46.1	81.4	34.3
KK/HlJ	m	SC-2907	12	725	27.2	11.2	41.8	82.8	31.1
KK/HlJ	m	SC-2908	12	765	21.5	7.9	39.9	78.5	32.5
KK/HlJ	m	SC-2909	12	754	27.9	11	39.4	79.6	28.8
KK/HlJ	m	SC-2910	12	749	30.1	10.8	43.1	80.2	32.7
KK/HlJ	m	SC-2903	12	757	26	9.2	40.8	79.2	32.1
KK/HlJ	m	SC-2904	12	716	28.1	10.6	44.7	83.8	34.6
KK/HlJ	m	SC-2942	12	753	30.7	12.4	44.9	79.7	33
KK/HlJ	m	SC-2943	12	754	28.8	11.1	40.4	79.6	29.8
KK/HlJ	m	SC-2944	12	730	27.6	12.7	45.5	82.1	33.3
KK/HlJ	m	SC-3009	20	751	16.6	8.4	43.3	79.9	35.4
KK/HlJ	m	SC-3010	20	717	28.3	9.6	41.7	83.7	32.7
KK/HlJ	m	SC-2987	20	764	29.6	10.6	41.6	80.8	31.6
KK/HlJ	m	SC-2988	20	781	26.8	10.6	37.5	76.9	27.3
KK/HlJ	m	SC-2999	20	746	20.4	10.2	44.4	80.5	34.8
KK/HlJ	m	SC-3000	20	660	32.7	12.3	44.7	90.9	32.9
KK/HlJ	m	SC-3001	20	735	28.1	8.3	38.9	81.6	31.1
LP/J	f	SC-7227	6	775	29.5	9.9	40.5	77.5	31.1
LP/J	f	SC-7228	6	770	28.3	10.1	38.1	78	28.5
LP/J	f	SC-7229	6	770	18.4	9.3	43.1	77.9	34.3
LP/J	f	SC-7230	6	687	29.8	11	43	87.5	32.5
LP/J	f	SC-7544	6	664	31.7	10.6	43.3	90.5	33.2
LP/J	f	SC-7545	6	692	27.6	11.9	46.5	86.8	35.1
LP/J	f	SC-3083	12	786	30.9	10.9	40.6	76.4	30.2
LP/J	f	SC-3084	12	731	33.2	11.9	45.6	82.1	34.1
LP/J	f	SC-3085	12	788	18	9.1	41	76.2	32.4
LP/J	f	SC-3086	12	793	29.6	10.5	39.5	75.7	29.4
LP/J	f	SC-3079	12	742	20.3	9.2	42.4	80.9	33.7
LP/J	f	SC-3080	12	707	30	11.5	41.6	84.9	30.6
LP/J	f	SC-3082	12	728	30.3	9.3	43.3	82.4	34.5
LP/J	f	SC-3129	20	777	31.4	8.8	39.5	77.2	31.1
LP/J	f	SC-3130	20	759	31.6	9.7	40.3	79.1	31.2
LP/J	f	SC-3131	20	775	30.3	11.3	41.9	77.4	31.1
LP/J	f	SC-3132	20	799	30.3	10.9	43.6	75.1	33.3
LP/J	f	SC-3138	20	769	26.4	10.5	40.5	78	30.5
LP/J	f	SC-3139	20	742	21.8	9.1	43.3	80.8	34.7
LP/J	f	SC-3140	20	755	32.2	10.2	40.9	79.5	31.1
LP/J	f	SC-3141	20	765	30.4	11	44.4	78.5	33.9
LP/J	m	SC-7220	6	795	29.5	9.2	38.4	75.5	29.7
