strain	sex	animal_id	age	body_weight_g	IGF1_ng-mL
C57BLKS/J	f	00069A2809	6	21.9	227
PWD/PhJ	m	00068CD754	12	21.9	349
SM/J	f	00068B1A77	12	21.9	226
WSB/EiJ	m	00069a09eb	12	21.9	269
C3H/HeJ	f	00068B0843	18	21.9	281
KK/HlJ	f	00068B1CC1	18	21.9	283
LP/J	f	00068D2D54	18	21.9	293
129S1/SvImJ	f	00068B2098	6	22	232
P/J	f	00068D05C1	6	22	381
C57BLKS/J	f	00068b1157	18	22	252
SJL/J	f	00068AFA64	6	22.1	312
DBA/2J	f	00068AFAF3	12	22.1	209
LP/J	f	00068D29C2	12	22.1	322
PWD/PhJ	m	00069a0c48	12	22.1	301
WSB/EiJ	m	00069a2bc5	12	22.1	293
BTBR T+ tf/J	f	00068B1DFD	6	22.2	428
PL/J	f	00068D35D8	12	22.2	225
C57BL/6J	f	00068B2752	18	22.2	276
FVB/NJ	m	00068B0D90	18	22.2	165
BALB/cByJ	f	00068AFD31	6	22.3	342
SJL/J	f	00068AF4A9	6	22.3	296
C57BL/6J	f	00068B2752	12	22.3	216
C57BLKS/J	f	00068b2582	12	22.3	210
CBA/J	f	00068B1746	12	22.3	314
C57BL/10J	f	00068AF8D1	18	22.3	260
SWR/J	f	00068B0C93	18	22.3	310
C57BLKS/J	f	00069A23E6	6	22.4	278
PWD/PhJ	m	00068D171F	6	22.4	323
PWD/PhJ	f	00068CEAB4	18	22.4	287
C57BLKS/J	f	00068af285	12	22.5	192
LP/J	f	00068D2091	18	22.5	300
WSB/EiJ	m	00069a2e55	18	22.5	283
NON/ShiLtJ	f	00068B0159	12	22.6	284
RIIIS/J	f	00068CFDA6	12	22.6	314
SJL/J	f	00068B1AE6	12	22.6	252
BUB/BnJ	f	SC-1423	18	22.6	253
C57BL/10J	m	00068B2027	18	22.6	231
C57BLKS/J	f	00068af285	18	22.6	201
PL/J	f	00069a1544	6	22.7	333
C3H/HeJ	f	00068B0843	12	22.7	278
PWD/PhJ	m	00068CFE95	12	22.7	283
129S1/SvImJ	f	00068B2098	12	22.8	312
C3H/HeJ	f	00068B0417	12	22.8	346
C57BLKS/J	f	00068b0724	12	22.8	243
PL/J	f	00068B24A1	12	22.8	185
SWR/J	f	00068B0C93	12	22.8	254
C3H/HeJ	f	00068AFADA	18	22.8	317
DBA/2J	f	00068B1E95	18	22.8	201
BALB/cByJ	f	00068AFC56	6	22.9	289
DBA/2J	f	00068B1862	6	22.9	232
SWR/J	f	00068AF599	6	22.9	374
C57BL/10J	f	00068B1698	12	22.9	331
C57BL/6J	f	00068B1818	12	23	235
BALB/cByJ	m	00068CFF7B	18	23	244
129S1/SvImJ	f	00068AFA62	6	23.1	275
C57BLKS/J	f	00068CF88A	6	23.1	298
FVB/NJ	f	00068B0C77	12	23.1	221
C57BLKS/J	f	00068b2582	18	23.1	200
129S1/SvImJ	f	00068B105E	6	23.2	289
129S1/SvImJ	f	00068B1871	6	23.2	204
PL/J	m	000699fe25	6	23.2	279
C57BL/10J	f	00068AFEB2	12	23.2	235
DBA/2J	m	000699f787	12	23.2	207
RIIIS/J	f	00068D026D	12	23.2	253
RIIIS/J	f	00068CF4FA	18	23.2	193
RIIIS/J	f	00068D026D	18	23.2	263
P/J	f	00068CF989	12	23.3	455
KK/HlJ	f	00068AFE4A	18	23.3	303
BALB/cByJ	f	00068AF96D	6	23.4	347
RIIIS/J	f	00069a22fe	6	23.4	321
SWR/J	f	00068B0F40	6	23.4	387
129S1/SvImJ	f	00068AFED4	12	23.4	
129S1/SvImJ	f	00068B1871	12	23.4	223
C57BL/6J	f	00068B247F	12	23.4	228
C57BLKS/J	f	00068B0943	12	23.4	224
LP/J	f	00068D2091	12	23.4	335
P/J	f	00068D4158	12	23.4	429
PWD/PhJ	m	00069a01d6	12	23.4	322
RIIIS/J	f	00068CF909	12	23.4	308
129S1/SvImJ	f	00068B1871	18	23.4	215
C3H/HeJ	f	00068B1EED	6	23.5	321
C57BL/10J	f	00068B1698	6	23.5	266
C57BL/10J	m	00068B062A	6	23.5	304
NON/ShiLtJ	f	00068B0159	6	23.5	317
P/J	f	00068CDD62	6	23.5	343
SJL/J	m	00068D430C	6	23.5	217
BALB/cByJ	f	00068AFC56	12	23.5	340
PL/J	m	00068B1B20	12	23.5	256
C57BL/10J	m	00068B2120	18	23.5	257
129S1/SvImJ	f	00068AF597	6	23.6	205
A/J	f	00068AF64B	6	23.6	278
C3H/HeJ	f	00068AF477	6	23.6	325
C57BL/6J	f	00069A2F3C	6	23.6	264
CBA/J	f	00068B1746	6	23.6	348
DBA/2J	m	00068CE238	18	23.6	251
C57BR/cdJ	f	00069a07dc	6	23.7	394
C57BL/10J	f	68AF9A3	12	23.7	267
LP/J	f	00068D3629	12	23.7	326
BALB/cByJ	f	00068B1F43	18	23.7	322
WSB/EiJ	m	00069a2656	18	23.7	275
C3H/HeJ	f	00068B0843	6	23.8	338
C57BLKS/J	f	00069A29B1	6	23.8	304
FVB/NJ	f	00068AFB74	6	23.8	250
SJL/J	m	SC-425	6	23.8	225
SJL/J	m	SC-519	6	23.8	259
BALB/cByJ	f	00068B1F43	12	23.8	329
C3H/HeJ	f	00068B225D	12	23.8	259
C57BL/10J	m	00068B2027	12	23.8	231
MRL/MpJ	f	00068D0794	18	23.8	177
P/J	f	00068D05C1	18	23.8	385
SJL/J	f	00068B0D3C	18	23.8	258
BUB/BnJ	f	00068CE425	6	23.9	321
LP/J	m	00068B2ADF	6	23.9	337
RIIIS/J	f	000699f8be	6	23.9	263
RIIIS/J	m	00068B0D23	6	23.9	312
SM/J	f	00068B2299	12	23.9	203
KK/HlJ	f	00068B1097	18	23.9	307
LP/J	f	00068D29C2	18	23.9	372
RIIIS/J	m	00068B0D23	18	23.9	286
C57BL/10J	m	00068B2027	6	24	254
DBA/2J	f	00068AF1C8	6	24	213
SWR/J	f	00068B0C93	6	24	408
SWR/J	f	00068B1D16	6	24	392
129S1/SvImJ	f	00068AF597	12	24	308
C57BLKS/J	f	00068af089	12	24	230
C57BR/cdJ	f	00068B216D	12	24	373
PWD/PhJ	f	00068CDEDB	12	24	501
PWD/PhJ	m	00069a1637	12	24	335
BUB/BnJ	f	00068B1350	18	24	306
BUB/BnJ	f	00068CE425	18	24	268
SM/J	m	00068cdae0	18	24	186
C57BL/10J	f	00068B080C	6	24.1	236
C57BL/10J	f	00068B1F04	12	24.1	257
LP/J	f	00068D1357	12	24.1	356
129S1/SvImJ	f	00068B2098	18	24.1	310
DBA/2J	m	00068CFB0D	18	24.1	220
PWD/PhJ	m	00068AF2C2	18	24.1	266
C57L/J	f	00068CD5E6	6	24.2	369
C57L/J	f	00068CE3AC	6	24.2	297
C57BL/10J	m	00068B2120	12	24.2	218
PWD/PhJ	m	00068D171F	12	24.2	386
P/J	f	00068CDD62	18	24.2	315
C57BL/10J	f	00068AFEB2	6	24.3	268
C57BL/10J	f	00068B0F1A	6	24.3	227
CBA/J	f	00068B0BD3	6	24.3	291
P/J	f	00068CF989	6	24.3	417
PWD/PhJ	m	00068cf1e2	6	24.3	339
C57BR/cdJ	f	00068B1B6B	12	24.3	300
LP/J	m	00068B2ADF	12	24.3	313
PL/J	f	00068CF38A	12	24.3	243
SM/J	f	00068B24A7	12	24.3	241
SWR/J	f	00068B0F40	12	24.3	335
KK/HlJ	m	00068B17CC	18	24.3	245
LP/J	m	00068B2ADF	18	24.3	351
PWD/PhJ	f	00068CF054	18	24.3	334
C57BL/10J	f	00068AF8D1	6	24.4	271
C57BL/10J	f	00068AF8F8	6	24.4	259
C57BLKS/J	f	00069A04E3	6	24.4	291
LP/J	f	00069a01c6	6	24.4	217
P/J	f	00068D4158	6	24.4	501
P/J	f	SC-367	6	24.4	306
SJL/J	f	00068B1841	6	24.4	313
SWR/J	f	00068B1236	6	24.4	447
P/J	f	00068D05C1	12	24.4	394
RIIIS/J	f	00068D04D1	12	24.4	264
SJL/J	f	00068B1AE6	18	24.4	336
SM/J	f	00068B1A77	18	24.4	254
C57BL/10J	f	00068B2B7A	6	24.5	217
C57BLKS/J	m	00068B1839	6	24.5	278
C57L/J	f	00068CFA29	6	24.5	408
KK/HlJ	f	00068D2DEA	6	24.5	336
PL/J	f	00069a140b	6	24.5	281
A/J	f	00068B0AD0	12	24.5	328
BUB/BnJ	f	00068CE425	12	24.5	278
PL/J	f	00068D21DE	12	24.5	243
KK/HlJ	m	00068B02E1	18	24.5	262
SJL/J	m	00069a1908	18	24.5	235
SWR/J	f	00068B0F40	18	24.5	332
C3H/HeJ	f	00068AFADA	6	24.6	327
DBA/2J	m	00068B04AF	6	24.6	270
C3H/HeJ	f	00068AF477	12	24.6	297
CBA/J	f	00068B0BD3	12	24.6	279
A/J	f	00068B032F	18	24.6	287
BUB/BnJ	f	00069a21e5	18	24.6	277
SJL/J	m	00069a2cfc	18	24.6	298
C57BL/10J	f	00068B0E8F	6	24.7	239
C57BL/6J	f	00069A0162	6	24.7	295
KK/HlJ	f	00068CED2C	6	24.7	317
SWR/J	m	00068AFC2F	6	24.7	276
C57BL/10J	f	00068B0F47	12	24.7	284
LP/J	f	00068B19A5	12	24.7	327
RIIIS/J	f	00068CF4FA	12	24.7	250
RIIIS/J	f	00068D3425	12	24.7	207
C57BLKS/J	f	00068af089	18	24.7	273
LP/J	f	00068B19A5	18	24.7	319
BUB/BnJ	f	SC-53	6	24.8	377
C57BL/10J	m	00068B2120	6	24.8	244
C57BLKS/J	m	00068B08F2	6	24.8	290
KK/HlJ	f	00068CED2C	12	24.8	241
A/J	f	00068B0AD0	18	24.8	281
BALB/cByJ	f	00068AFC56	18	24.8	367
BALB/cByJ	f	00068AFD31	18	24.8	342
C3H/HeJ	f	00068AF477	18	24.8	271
C57BLKS/J	f	00068b27ef	18	24.8	259
P/J	f	00068D3343	18	24.8	369
RIIIS/J	f	00068D3425	18	24.8	167
BALB/cByJ	f	00068AFD78	6	24.9	321
BUB/BnJ	f	00068AFC65	6	24.9	517
C3H/HeJ	f	00068B0417	6	24.9	390
PL/J	f	00069a02de	6	24.9	259
RIIIS/J	f	00069a2690	6	24.9	302
BALB/cByJ	f	00068AFD31	12	24.9	355
C57BL/6J	f	00068B0BB4	12	24.9	243
DBA/2J	m	00068B04AF	12	24.9	235
LP/J	f	00068D3629	18	24.9	318
MRL/MpJ	m	00068B123A	18	24.9	255
C57BL/10J	f	68AF9A3	6	25	261
FVB/NJ	f	00068B1253	6	25	280
C57BLKS/J	m	00068B1839	12	25	294
C57BL/6J	f	00068B1818	18	25	365
FVB/NJ	f	00068AFAE6	18	25	267
NON/ShiLtJ	m	00068B15C8	18	25	388
P/J	f	00068D3080	18	25	340
SM/J	f	00068B2299	18	25	218
SWR/J	f	00068B1236	18	25	333
DBA/2J	f	00068B2303	6	25.1	255
C57BR/cdJ	f	00068AFB88	12	25.1	353
P/J	f	00068D3343	12	25.1	391
SWR/J	f	00068AFD73	12	25.1	411
SWR/J	f	00068B1D16	12	25.1	380
A/J	f	00068B25B2	18	25.1	322
BUB/BnJ	f	00068CF827	6	25.2	385
DBA/2J	f	00068AF7E5	6	25.2	239
FVB/NJ	f	00068B1396	6	25.2	224
129S1/SvImJ	f	00068AF597	18	25.2	289
C57BL/10J	f	00068B1698	18	25.2	309
DBA/2J	f	00068B2303	18	25.2	225
129S1/SvImJ	f	00068B035D	6	25.3	296
A/J	f	00068B2279	12	25.3	295
WSB/EiJ	m	00069a2e55	12	25.3	329
C57BL/10J	f	00068B1F04	18	25.3	234
KK/HlJ	f	00068B0C94	18	25.3	273
129S1/SvImJ	f	00068B176E	6	25.4	328
SJL/J	m	00068CD79A	6	25.4	242
A/J	f	00068AF64B	12	25.4	345
P/J	f	00068CE1F5	12	25.4	420
P/J	f	00068D3080	12	25.4	402
SJL/J	f	00068AF4A9	12	25.4	342
SJL/J	m	00069a1251	12	25.4	220
A/J	f	00068B2059	18	25.4	303
A/J	f	00068B2279	18	25.4	290
FVB/NJ	f	00068B1396	18	25.4	241
KK/HlJ	m	00068B16DE	18	25.4	265
BALB/cByJ	f	00068B10FD	6	25.5	336
CBA/J	f	00068B257A	6	25.5	307
PL/J	m	SC-3958	6	25.5	263
C57BL/6J	f	00068B2797	12	25.5	227
SJL/J	f	00068B135D	12	25.5	270
BUB/BnJ	f	00068CF827	18	25.5	307
C3H/HeJ	f	00068B1EED	18	25.5	314
C57BLKS/J	m	00068B1839	18	25.5	257
RIIIS/J	f	00068D04D1	18	25.5	287
BALB/cByJ	f	00068AF96D	12	25.6	396
C57BLKS/J	f	00068b27ef	12	25.6	234
C57BR/cdJ	f	00068AF9AF	12	25.6	288
FVB/NJ	m	00068CE052	12	25.6	252
SM/J	f	00068B14BA	12	25.6	311
C57BR/cdJ	f	00068D05A7	18	25.6	303
CBA/J	m	00068B17C1	18	25.6	293
MRL/MpJ	m	00068AF982	18	25.6	221
A/J	f	00068B2591	6	25.7	378
A/J	m	00068b0381	6	25.7	315
C57L/J	f	00068CFCA9	6	25.7	403
PL/J	f	00069a1daf	6	25.7	241
SJL/J	m	00068B1658	6	25.7	226
PL/J	m	00068B0F08	12	25.7	250
C57L/J	f	00068C1701	18	25.7	321
NON/ShiLtJ	m	00068B1267	18	25.7	471
NON/ShiLtJ	m	00068B1697	18	25.7	303
PWD/PhJ	m	000699fb57	18	25.7	312
C57BL/6J	f	00069A2BFE	6	25.8	267
C57BR/cdJ	f	00069a24c7	6	25.8	372
P/J	f	00068CE1F5	6	25.8	500
P/J	m	00069a0769	6	25.8	313
C57BL/6J	f	00068CF32A	12	25.8	208
CBA/J	f	00068B293E	12	25.8	302
KK/HlJ	f	00068D2DEA	12	25.8	282
NON/ShiLtJ	m	00068B1697	12	25.8	327
PL/J	m	00068CFEF3	12	25.8	241
RIIIS/J	m	00068B0D23	12	25.8	287
SM/J	f	00068CF22F	12	25.8	242
SWR/J	m	00068AFC2F	12	25.8	277
BUB/BnJ	f	000666D252	18	25.8	360
MRL/MpJ	f	00068CD7FF	18	25.8	208
PWD/PhJ	m	00068B2664	18	25.8	389
C57BR/cdJ	f	00069a0316	6	25.9	389
C57L/J	f	00068E41FC	6	25.9	355
CBA/J	f	00068B04F6	6	25.9	321
CBA/J	f	00068B293E	6	25.9	308
FVB/NJ	f	00068B0C77	6	25.9	240
LP/J	m	00068B18F7	6	25.9	365
PL/J	m	00069a283e	6	25.9	301
PL/J	m	00069a28e7	6	25.9	259
PL/J	m	SC-3956	6	25.9	267
C57BLKS/J	m	00068B08F2	12	25.9	327
PWD/PhJ	m	00069a245e	12	25.9	340
SJL/J	m	00069A0028	12	25.9	241
SJL/J	m	00069a1c50	12	25.9	270
SJL/J	m	000699fd87	18	25.9	243
A/J	f	00068B2279	6	26	322
LP/J	m	00068B0E5B	6	26	313
C3H/HeJ	f	00068AFADA	12	26	323
A/J	f	00068B2591	18	26	308
BUB/BnJ	f	000699f7d8	18	26	356
PWD/PhJ	f	00068CDEDB	18	26	388
SM/J	m	00068cfef1	18	26	223
C57BL/6J	f	00068B05CA	12	26.1	215
C57L/J	f	00068CE3AC	12	26.1	283
C57L/J	f	00068CFA29	12	26.1	402
LP/J	m	00068B0E5B	12	26.1	273
SWR/J	f	00068B1236	12	26.1	383
C57BL/10J	f	68AF9A3	18	26.1	251
C57BR/cdJ	f	00068CE096	18	26.1	307
C57BL/10J	m	SC-209	6	26.2	252
SWR/J	m	00068AF9B3	6	26.2	441
BALB/cByJ	m	00068B09C1	12	26.2	294
BALB/cByJ	m	00068CDC89	18	26.2	294
C57BLKS/J	m	00068B08F2	18	26.2	288
A/J	m	00068b1e9c	6	26.3	257
C57L/J	f	00068CEADC	6	26.3	359
CBA/J	f	00068AF6A5	6	26.3	277
NOD.B10Sn-H2<b>/J	f	00069a22a0	6	26.3	392
129S1/SvImJ	f	00068AFA62	12	26.3	339
C3H/HeJ	f	00068B1EED	12	26.3	334
BALB/cByJ	m	00068B28B7	18	26.3	273
BALB/cByJ	m	0068B29D2	18	26.3	281
C57BR/cdJ	f	00068D09FA	18	26.3	248
RIIIS/J	f	00069a000f	6	26.4	341
P/J	f	00068CDD62	12	26.4	393
SJL/J	m	00068CD79A	12	26.4	284
C3H/HeJ	m	00068B076E	18	26.4	367
FVB/NJ	f	00068B0C77	18	26.4	215
FVB/NJ	m	00069A295D	18	26.4	323
MRL/MpJ	f	00068CE2DC	18	26.4	199
PWD/PhJ	f	00068CF054	6	26.5	402
BALB/cByJ	m	00068B1663	12	26.5	331
CBA/J	f	00068AF6A5	12	26.5	295
DBA/2J	m	00068AFBC0	12	26.5	
C57BL/10J	m	00068AF117	18	26.5	278
C57BL/10J	m	00068B0F3B	18	26.5	240
BUB/BnJ	f	00068B1350	6	26.6	544
FVB/NJ	f	00068B0C1B	6	26.6	254
FVB/NJ	m	00069A295D	6	26.6	300
BALB/cByJ	f	00068B18A2	12	26.6	412
129S1/SvImJ	f	00068AFED4	18	26.6	275
C57BL/10J	f	00068B0F47	18	26.6	381
C57BL/10J	f	00068B1530	6	26.7	258
C57BL/6J	f	00069A02D5	6	26.7	327
FVB/NJ	m	00068CE052	6	26.7	196
C57BL/10J	m	00068AF117	12	26.7	231
DBA/2J	m	00069A15C5	12	26.7	270
C57BR/cdJ	m	00068B1ADF	18	26.7	241
A/J	f	00068B032F	6	26.8	328
FVB/NJ	f	00068B299D	6	26.8	317
LP/J	m	00068B1B1E	6	26.8	287
BALB/cByJ	f	00068AFD78	12	26.8	358
BALB/cByJ	f	00068B18A2	6	26.9	335
C57L/J	f	00068CFCA9	12	26.9	417
FVB/NJ	f	00068B1396	12	26.9	273
129S1/SvImJ	m	SC-717	18	26.9	327
C57BL/6J	f	00068B0BB4	18	26.9	317
C57L/J	f	00068CDDCF	18	26.9	312
SM/J	f	00068B24A7	18	26.9	256
SJL/J	f	00068B0DB0	6	27	259
DBA/2J	m	00068AF64A	12	27	234
CBA/J	f	SC-5088	18	27	320
DBA/2J	f	00068D1DA0	18	27	277
NOD.B10Sn-H2<b>/J	f	00069a04dc	6	27.1	432
129S1/SvImJ	f	00068B176E	12	27.1	354
SWR/J	m	00068AF9B3	12	27.1	434
LP/J	m	00068B0E5B	18	27.1	295
C57BL/10J	f	00068B19F5	6	27.2	266
C57BL/6J	f	00068CDA82	6	27.2	204
C57BL/6J	f	000699FB5B	6	27.2	245
BALB/cByJ	f	00068B10FD	18	27.2	313
BUB/BnJ	f	00068CD85C	18	27.2	251
C3H/HeJ	m	00068B1521	18	27.2	327
PWD/PhJ	m	00068B104A	18	27.2	294
BUB/BnJ	f	00068B08B0	6	27.3	552
C57BLKS/J	m	00068B252B	6	27.3	269
SJL/J	m	00068AF499	6	27.3	198
SWR/J	m	00068AF238	6	27.3	350
SWR/J	m	00068B1F59	6	27.3	293
FVB/NJ	m	00069A050D	12	27.3	291
