strain	sex	animal_id	age	percent_MME	urine_albumin_ug-dL	urine_creatinine_mg-dL	urine_ACR
129S1/SvImJ	m	06-11302	20	8	NA	NA	NA
129S1/SvImJ	m	06-11303	20	4	NA	NA	NA
129S1/SvImJ	m	06-11304	20	8	NA	NA	NA
129S1/SvImJ	m	07-09126	20	4	NA	NA	NA
129S1/SvImJ	m	07-09129	20	2	NA	NA	NA
129S1/SvImJ	m	07-09131	20	8	NA	NA	NA
A/J	m	07-09112	12	0	NA	NA	NA
A/J	m	07-09113	12	0	NA	NA	NA
A/J	m	07-09124	12	0	NA	NA	NA
A/J	m	07-09125	12	2	NA	NA	NA
A/J	m	07-09174	12	2	NA	NA	NA
A/J	m	07-09177	12	2	NA	NA	NA
AKR/J	m	6950	6	24	NA	NA	NA
AKR/J	m	6951	6	6	NA	NA	NA
AKR/J	m	6952	6	10	NA	NA	NA
AKR/J	m	6953	6	34	NA	NA	NA
AKR/J	m	6954	6	12	NA	NA	NA
AKR/J	m	6955	6	14	NA	NA	NA
AKR/J	m	06-11654	12	22	NA	NA	NA
AKR/J	m	06-11655	12	36	NA	NA	NA
AKR/J	m	06-11656	12	32	NA	NA	NA
AKR/J	m	06-11658	12	32	NA	NA	NA
AKR/J	m	06-11659	12	34	NA	NA	NA
AKR/J	m	06-11660	12	20	NA	NA	NA
BALB/cByJ	m	07-09376	12	8	NA	NA	NA
BALB/cByJ	m	07-09377	12	6	NA	NA	NA
BALB/cByJ	m	07-09378	12	10	NA	NA	NA
BALB/cByJ	m	07-09387	12	0	NA	NA	NA
BALB/cByJ	m	07-09389	12	8	NA	NA	NA
BALB/cByJ	m	07-09434	12	6	NA	NA	NA
BALB/cByJ	m	06-10174	20	12	NA	NA	NA
BALB/cByJ	m	06-10175	20	46	NA	NA	NA
BALB/cByJ	m	06-10176	20	6	NA	NA	NA
BALB/cByJ	m	06-10177	20	12	NA	NA	NA
BALB/cByJ	m	06-10179	20	6	NA	NA	NA
BALB/cByJ	m	06-10180	20	8	NA	NA	NA
BTBR T+ tf/J	m	07-09405	12	0	NA	NA	NA
BTBR T+ tf/J	m	07-09407	12	2	NA	NA	NA
BTBR T+ tf/J	m	07-09412	12	4	NA	NA	NA
BTBR T+ tf/J	m	07-09414	12	4	NA	NA	NA
BTBR T+ tf/J	m	07-09415	12	4	NA	NA	NA
BTBR T+ tf/J	m	07-09416	12	2	NA	NA	NA
BTBR T+ tf/J	m	06-10228	20	10	NA	NA	NA
BTBR T+ tf/J	m	06-10229	20	14	NA	NA	NA
BTBR T+ tf/J	m	06-10230	20	8	NA	NA	NA
BTBR T+ tf/J	m	06-10231	20	10	NA	NA	NA
BTBR T+ tf/J	m	06-11159	20	8	NA	NA	NA
BTBR T+ tf/J	m	06-11160	20	4	NA	NA	NA
BUB/BnJ	m	07-09673	12	0	NA	NA	NA
BUB/BnJ	m	07-09675	12	6	NA	NA	NA
BUB/BnJ	m	07-09676	12	0	NA	NA	NA
BUB/BnJ	m	07-09788	12	4	NA	NA	NA
BUB/BnJ	m	07-10013	12	4	NA	NA	NA
BUB/BnJ	m	07-10014	12	2	NA	NA	NA
BUB/BnJ	m	06-11164	20	12	NA	NA	NA
BUB/BnJ	m	07-09103	20	58	NA	NA	NA
C3H/HeJ	m	06-10325	20	4	NA	NA	NA
C3H/HeJ	m	06-10326	20	4	NA	NA	NA
C3H/HeJ	m	06-10328	20	6	NA	NA	NA
C3H/HeJ	m	06-10331	20	2	NA	NA	NA
C3H/HeJ	m	06-10333	20	8	NA	NA	NA
C3H/HeJ	m	06-10334	20	2	NA	NA	NA
C57BL/10J	m	07-09468	12	14	NA	NA	NA
C57BL/10J	m	07-09479	12	6	NA	NA	NA
C57BL/10J	m	07-09480	12	2	NA	NA	NA
C57BL/10J	m	07-09481	12	4	NA	NA	NA
C57BL/10J	m	07-09677	12	4	NA	NA	NA
C57BL/10J	m	07-09678	12	4	NA	NA	NA
C57BL/10J	m	06-10304	20	18	NA	NA	NA
C57BL/10J	m	06-10305	20	54	NA	NA	NA
C57BL/10J	m	06-10307	20	34	NA	NA	NA
C57BL/10J	m	06-10309	20	22	NA	NA	NA
C57BL/10J	m	06-10310	20	6	NA	NA	NA
C57BL/10J	m	06-10311	20	2	NA	NA	NA
C57BL/6J	m	07-09568	12	8	NA	NA	NA
C57BL/6J	m	07-09569	12	12	NA	NA	NA
C57BL/6J	m	07-09570	12	4	NA	NA	NA
C57BL/6J	m	07-09572	12	2	NA	NA	NA
C57BL/6J	m	07-09574	12	0	NA	NA	NA
C57BL/6J	m	07-09575	12	4	NA	NA	NA
C57BL/6J	m	06-10515	20	16	NA	NA	NA
C57BL/6J	m	06-10516	20	26	NA	NA	NA
C57BL/6J	m	06-10517	20	32	NA	NA	NA
C57BL/6J	m	06-10532	20	0	NA	NA	NA
C57BL/6J	m	06-10533	20	12	NA	NA	NA
C57BL/6J	m	06-10534	20	8	NA	NA	NA
C57BLKS/J	m	06-10522	20	10	NA	NA	NA
C57BLKS/J	m	06-10523	20	6	NA	NA	NA
C57BLKS/J	m	06-10524	20	10	NA	NA	NA
C57BLKS/J	m	06-10525	20	6	NA	NA	NA
C57BLKS/J	m	06-10526	20	2	NA	NA	NA
C57BLKS/J	m	06-10527	20	6	NA	NA	NA
C57BR/cdJ	m	7449	6	4	NA	NA	NA
C57BR/cdJ	m	7450	6	2	NA	NA	NA
C57BR/cdJ	m	7451	6	8	NA	NA	NA
C57BR/cdJ	m	7452	6	0	NA	NA	NA
C57BR/cdJ	m	7453	6	0	NA	NA	NA
C57BR/cdJ	m	7454	6	12	NA	NA	NA
C57BR/cdJ	m	07-09419	12	6	NA	NA	NA
C57BR/cdJ	m	07-09420	12	16	NA	NA	NA
C57BR/cdJ	m	07-09524	12	22	NA	NA	NA
C57BR/cdJ	m	07-09591	12	12	NA	NA	NA
C57BR/cdJ	m	07-09597	12	0	NA	NA	NA
C57BR/cdJ	m	07-09598	12	10	NA	NA	NA
C57BR/cdJ	m	06-10706	20	80	NA	NA	NA
C57BR/cdJ	m	06-10707	20	36	NA	NA	NA
C57BR/cdJ	m	06-10708	20	12	NA	NA	NA
C57BR/cdJ	m	06-10709	20	38	NA	NA	NA
C57BR/cdJ	m	06-10718	20	18	NA	NA	NA
C57BR/cdJ	m	06-10720	20	20	NA	NA	NA
C57L/J	m	07-09304	12	4	NA	NA	NA
C57L/J	m	07-09306	12	14	NA	NA	NA
C57L/J	m	07-09307	12	2	NA	NA	NA
C57L/J	m	07-09326	12	0	NA	NA	NA
C57L/J	m	07-09327	12	4	NA	NA	NA
C57L/J	m	07-09329	12	4	NA	NA	NA
C57L/J	m	06-10183	20	4	NA	NA	NA
C57L/J	m	06-10184	20	6	NA	NA	NA
C57L/J	m	06-10185	20	20	NA	NA	NA
C57L/J	m	06-10186	20	10	NA	NA	NA
C57L/J	m	06-10187	20	8	NA	NA	NA
C57L/J	m	06-10188	20	6	NA	NA	NA
CBA/J	m	07-09254	12	4	NA	NA	NA
CBA/J	m	07-09255	12	2	NA	NA	NA
CBA/J	m	07-09257	12	6	NA	NA	NA
CBA/J	m	07-09283	12	4	NA	NA	NA
CBA/J	m	07-09284	12	0	NA	NA	NA
CBA/J	m	07-09285	12	4	NA	NA	NA
CBA/J	m	06-10232	20	14	NA	NA	NA
CBA/J	m	06-10233	20	12	NA	NA	NA
CBA/J	m	06-10234	20	12	NA	NA	NA
CBA/J	m	06-10235	20	14	NA	NA	NA
CBA/J	m	06-10236	20	8	NA	NA	NA
CBA/J	m	06-10239	20	4	NA	NA	NA
DBA/2J	m	06-10712	20	4	NA	NA	NA
DBA/2J	m	06-10713	20	6	NA	NA	NA
DBA/2J	m	06-10714	20	12	NA	NA	NA
DBA/2J	m	06-10715	20	10	NA	NA	NA
DBA/2J	m	07-09421	20	8	NA	NA	NA
DBA/2J	m	07-09422	20	0	NA	NA	NA
FVB/NJ	m	07-09251	12	0	NA	NA	NA
FVB/NJ	m	07-09252	12	8	NA	NA	NA
FVB/NJ	m	07-09253	12	0	NA	NA	NA
FVB/NJ	m	07-09790	12	0	NA	NA	NA
FVB/NJ	m	07-09791	12	2	NA	NA	NA
FVB/NJ	m	07-09845	12	2	NA	NA	NA
FVB/NJ	m	06-10251	20	4	NA	NA	NA
FVB/NJ	m	06-10252	20	10	NA	NA	NA
FVB/NJ	m	06-10253	20	6	NA	NA	NA
FVB/NJ	m	06-11161	20	8	NA	NA	NA
FVB/NJ	m	06-11162	20	12	NA	NA	NA
FVB/NJ	m	06-11173	20	12	NA	NA	NA
KK/HlJ	m	7550	6	0	NA	NA	NA
KK/HlJ	m	7551	6	10	NA	NA	NA
KK/HlJ	m	7553	6	2	NA	NA	NA
KK/HlJ	m	7554	6	16	NA	NA	NA
KK/HlJ	m	7555	6	10	NA	NA	NA
KK/HlJ	m	7556	6	4	NA	NA	NA
KK/HlJ	m	07-09943	12	10	NA	NA	NA
KK/HlJ	m	07-09988	12	4	NA	NA	NA
KK/HlJ	m	07-09989	12	4.3	NA	NA	NA
KK/HlJ	m	07-09990	12	10	NA	NA	NA
KK/HlJ	m	07-10122	12	18	NA	NA	NA
KK/HlJ	m	07-10125	12	4	NA	NA	NA
KK/HlJ	m	06-10336	20	56	NA	NA	NA
KK/HlJ	m	06-10337	20	26	NA	NA	NA
KK/HlJ	m	07-09106	20	14	NA	NA	NA
KK/HlJ	m	07-09107	20	46	NA	NA	NA
KK/HlJ	m	07-09108	20	52	NA	NA	NA
KK/HlJ	m	07-09110	20	14	NA	NA	NA
LP/J	m	06-10266	20	2	NA	NA	NA
LP/J	m	06-10267	20	0	NA	NA	NA
LP/J	m	06-10268	20	0	NA	NA	NA
LP/J	m	06-10269	20	0	NA	NA	NA
LP/J	m	06-10270	20	0	NA	NA	NA
LP/J	m	06-10271	20	0	NA	NA	NA
MRL/MpJ	m	07-09310	12	6	NA	NA	NA
MRL/MpJ	m	07-09311	12	4	NA	NA	NA
MRL/MpJ	m	07-09312	12	8	NA	NA	NA
MRL/MpJ	m	07-09313	12	2	NA	NA	NA
MRL/MpJ	m	07-09317	12	8	NA	NA	NA
MRL/MpJ	m	07-09318	12	10	NA	NA	NA
MRL/MpJ	m	06-09919	20	36	NA	NA	NA
MRL/MpJ	m	06-09920	20	30	NA	NA	NA
MRL/MpJ	m	06-09921	20	26	NA	NA	NA
MRL/MpJ	m	06-09922	20	14	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09784	12	0	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09785	12	4	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09818	12	12	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09821	12	14	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-10109	12	16	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-10111	12	10	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09894	20	34	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09980	20	46	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-09981	20	40	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-10028	20	32	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-10107	20	34	NA	NA	NA
NOD.B10Sn-H2<b>/J	m	07-10108	20	24	NA	NA	NA
NON/ShiLtJ	m	07-09826	12	8	NA	NA	NA
NON/ShiLtJ	m	07-09827	12	4	NA	NA	NA
NON/ShiLtJ	m	07-09828	12	6	NA	NA	NA
NON/ShiLtJ	m	07-10126	12	4	NA	NA	NA
NON/ShiLtJ	m	07-10127	12	10	NA	NA	NA
NON/ShiLtJ	m	07-10129	12	8	NA	NA	NA
NON/ShiLtJ	m	06-10716	20	8	NA	NA	NA
NON/ShiLtJ	m	06-10717	20	12	NA	NA	NA
NON/ShiLtJ	m	06-11221	20	16	NA	NA	NA
NON/ShiLtJ	m	06-11222	20	2	NA	NA	NA
NON/ShiLtJ	m	06-11223	20	22	NA	NA	NA
NON/ShiLtJ	m	07-09183	20	4	NA	NA	NA
NZO/HlLtJ	m	7349	6	4	NA	NA	NA
NZO/HlLtJ	m	7350	6	16	NA	NA	NA
NZO/HlLtJ	m	7351	6	20	NA	NA	NA
NZO/HlLtJ	m	7352	6	6	NA	NA	NA
NZO/HlLtJ	m	7353	6	6	NA	NA	NA
NZO/HlLtJ	m	7354	6	6	NA	NA	NA
NZO/HlLtJ	m	07-09831	12	14	NA	NA	NA
NZO/HlLtJ	m	07-09832	12	12	NA	NA	NA
NZO/HlLtJ	m	07-09833	12	22	NA	NA	NA
NZO/HlLtJ	m	07-09834	12	42	NA	NA	NA
NZO/HlLtJ	m	07-09835	12	16	NA	NA	NA
NZO/HlLtJ	m	06-10520	20	24	NA	NA	NA
NZO/HlLtJ	m	06-10521	20	16	NA	NA	NA
NZW/LacJ	m	6890	6	0	NA	NA	NA
NZW/LacJ	m	6891	6	2	NA	NA	NA
NZW/LacJ	m	6892	6	0	NA	NA	NA
NZW/LacJ	m	6894	6	8	NA	NA	NA
NZW/LacJ	m	6895	6	4	NA	NA	NA
NZW/LacJ	m	6896	6	12	NA	NA	NA
NZW/LacJ	m	07-09936	12	8	NA	NA	NA
NZW/LacJ	m	07-09938	12	8	NA	NA	NA
NZW/LacJ	m	07-09941	12	4	NA	NA	NA
NZW/LacJ	m	07-09942	12	16	NA	NA	NA
NZW/LacJ	m	07-10081	12	14	NA	NA	NA
NZW/LacJ	m	07-10082	12	10	NA	NA	NA
NZW/LacJ	m	06-10768	20	50	NA	NA	NA
NZW/LacJ	m	06-10769	20	20	NA	NA	NA
NZW/LacJ	m	06-10770	20	26	NA	NA	NA
NZW/LacJ	m	06-10771	20	34	NA	NA	NA
NZW/LacJ	m	06-10772	20	26	NA	NA	NA
NZW/LacJ	m	06-10776	20	12	NA	NA	NA
P/J	m	7711	6	0	NA	NA	NA
P/J	m	7712	6	0	NA	NA	NA
P/J	m	7713	6	2	NA	NA	NA
P/J	m	7720	6	2	NA	NA	NA
P/J	m	7724	6	2	NA	NA	NA
P/J	m	7725	6	2	NA	NA	NA
P/J	m	07-09521	12	20	NA	NA	NA
P/J	m	07-09522	12	6	NA	NA	NA
P/J	m	07-09728	12	26	NA	NA	NA
P/J	m	06-10314	20	24	NA	NA	NA
P/J	m	06-11230	20	18	NA	NA	NA
P/J	m	06-11231	20	16	NA	NA	NA
P/J	m	06-11232	20	12	NA	NA	NA
P/J	m	07-09161	20	16	NA	NA	NA
PL/J	m	07-09461	12	0	NA	NA	NA
PL/J	m	07-09462	12	0	NA	NA	NA
PL/J	m	07-09465	12	10	NA	NA	NA
PL/J	m	07-09466	12	0	NA	NA	NA
PL/J	m	07-09542	12	4	NA	NA	NA
PL/J	m	07-09543	12	2	NA	NA	NA
PL/J	m	06-10836	20	6	NA	NA	NA
PL/J	m	06-10837	20	22	NA	NA	NA
PWD/PhJ	m	06-11165	20	0	NA	NA	NA
PWD/PhJ	m	06-11166	20	14	NA	NA	NA
PWD/PhJ	m	06-11167	20	6	NA	NA	NA
PWD/PhJ	m	06-11169	20	4	NA	NA	NA
PWD/PhJ	m	06-11170	20	6	NA	NA	NA
PWD/PhJ	m	06-11172	20	6	NA	NA	NA
RIIIS/J	m	06-11293	20	0	NA	NA	NA
RIIIS/J	m	06-11294	20	8	NA	NA	NA
RIIIS/J	m	06-11295	20	4	NA	NA	NA
RIIIS/J	m	06-11296	20	4	NA	NA	NA
RIIIS/J	m	06-11298	20	6	NA	NA	NA
RIIIS/J	m	06-11306	20	6	NA	NA	NA
SM/J	m	7065	6	18	NA	NA	NA
SM/J	m	7066	6	26	NA	NA	NA
SM/J	m	7067	6	18	NA	NA	NA
SM/J	m	7068	6	24	NA	NA	NA
SM/J	m	7069	6	8	NA	NA	NA
SM/J	m	7071	6	6	NA	NA	NA
SM/J	m	07-09679	12	10	NA	NA	NA
SM/J	m	07-09681	12	24	NA	NA	NA
SM/J	m	07-09682	12	28	NA	NA	NA
SM/J	m	07-09684	12	14	NA	NA	NA
SM/J	m	07-09814	12	10	NA	NA	NA
SM/J	m	07-09815	12	18	NA	NA	NA
SM/J	m	06-10838	20	32	NA	NA	NA
SM/J	m	06-10839	20	32	NA	NA	NA
SM/J	m	06-10840	20	26	NA	NA	NA
SM/J	m	06-10841	20	24	NA	NA	NA
SM/J	m	06-10842	20	2	NA	NA	NA
SM/J	m	06-10843	20	18	NA	NA	NA
SWR/J	m	07-09162	20	4	NA	NA	NA
SWR/J	m	07-09163	20	8	NA	NA	NA
SWR/J	m	07-09164	20	14	NA	NA	NA
SWR/J	m	07-09165	20	6	NA	NA	NA
SWR/J	m	07-09167	20	4	NA	NA	NA
SWR/J	m	07-09169	20	0	NA	NA	NA
WSB/EiJ	m	06-10221	20	6	NA	NA	NA
WSB/EiJ	m	06-10223	20	0	NA	NA	NA
WSB/EiJ	m	06-10224	20	2	NA	NA	NA
WSB/EiJ	m	06-10833	20	8	NA	NA	NA
WSB/EiJ	m	06-10835	20	2	NA	NA	NA
WSB/EiJ	m	06-10851	20	0	NA	NA	NA
129S1/SvImJ	f	00068AF233	12	NA	0	77.8	0
129S1/SvImJ	f	00068AFC4F	12	NA	0	108	0
129S1/SvImJ	f	00068B0443	12	NA	0	83.4	0
129S1/SvImJ	f	00068B0CE6	12	NA	0	118	0
129S1/SvImJ	f	00068B1CAD	12	NA	0	118	0
129S1/SvImJ	f	00068B27AB	12	NA	0	88.5	0
129S1/SvImJ	f	00068B1641	12	NA	9.89	79.9	124
129S1/SvImJ	f	00068AF6D7	12	NA	87.6	70.8	1240
129S1/SvImJ	m	00068CDF96	12	NA	0	101	0
129S1/SvImJ	m	00068CE196	12	NA	0	76.1	0
129S1/SvImJ	m	00068D42D3	12	NA	0	32	0
129S1/SvImJ	m	00068CDE95	12	NA	0.48	58.7	8
129S1/SvImJ	m	00068D0502	12	NA	0.51	76.1	7
129S1/SvImJ	m	00068D135D	12	NA	1.22	67.5	18
129S1/SvImJ	m	00068CE500	12	NA	1.77	79.9	22
129S1/SvImJ	m	00068D02B0	12	NA	3.81	86.6	44
A/J	f	00068AFA4E	12	NA	0	74.5	0
A/J	f	00068B1801	12	NA	0	88	0
A/J	f	00068B206F	12	NA	0	82.7	0
A/J	f	00068B24B8	12	NA	0	81.8	0
A/J	f	00068B28B8	12	NA	0	88.2	0
A/J	f	SC-843	12	NA	0	95.4	0
A/J	f	00068B1C33	12	NA	17.9	69.1	259
A/J	f	00068B2C08	12	NA	18.2	68.9	264
A/J	m	00068D0D2E	12	NA	0	105	0
A/J	m	00068D40AD	12	NA	0	142	0
A/J	m	00068D4362	12	NA	0	134	0
A/J	m	00068D31E9	12	NA	4.76	139	34
A/J	m	00068D3006	12	NA	5.44	131	42
A/J	m	00068D207D	12	NA	13.4	104	129
A/J	m	00068D4236	12	NA	13.7	132	104
A/J	m	00068CE0DB	12	NA	14	87.3	160
BALB/cByJ	f	00068B0508	12	NA	0	72.2	0
BALB/cByJ	f	00068B0A4C	12	NA	0	65.7	0
BALB/cByJ	f	00068B0D22	12	NA	0	114	0
BALB/cByJ	f	00068B0E4D	12	NA	0	65.7	0
BALB/cByJ	f	00068B1D53	12	NA	0	104	0
BALB/cByJ	f	00068B2436	12	NA	0	116	0
BALB/cByJ	f	00068B260F	12	NA	0	66.3	0
BALB/cByJ	f	00068B27B1	12	NA	0	91.2	0
BALB/cByJ	m	00068AFE4B	12	NA	0	108	0
BALB/cByJ	m	00068B177C	12	NA	0	145	0
BALB/cByJ	m	00068CD521	12	NA	0	84.1	0
BALB/cByJ	m	00068CF5B6	12	NA	0	109	0
BALB/cByJ	m	00068D0C55	12	NA	0	84.7	0
BALB/cByJ	m	00068D0CF3	12	NA	0	105	0
BALB/cByJ	m	00068D2C59	12	NA	0	111	0
BALB/cByJ	m	00068D4C4D	12	NA	0	64.7	0
BTBR T+ tf/J	f	00068AFE43	12	NA	0	61.9	0
BTBR T+ tf/J	f	00068B0285	12	NA	0	63.3	0
BTBR T+ tf/J	f	00068B0528	12	NA	0	64.3	0
BTBR T+ tf/J	f	00068B1031	12	NA	0	73.2	0
BTBR T+ tf/J	f	00068B1DA8	12	NA	0	53.9	0
BTBR T+ tf/J	f	00068B2737	12	NA	0	74	0
BTBR T+ tf/J	f	00068B04DB	12	NA	0.99	47.2	21
BTBR T+ tf/J	f	00068AF450	12	NA	14.2	32.2	441
BTBR T+ tf/J	m	00068AF557	12	NA	0	66.1	0
BTBR T+ tf/J	m	00068B118E	12	NA	0	66.6	0
BTBR T+ tf/J	m	00068B11F6	12	NA	0	55.7	0
BTBR T+ tf/J	m	00068B1359	12	NA	0	70.4	0
BTBR T+ tf/J	m	00068B14BB	12	NA	0	67.9	0
BTBR T+ tf/J	m	00068B15D9	12	NA	0	77.7	0
BTBR T+ tf/J	m	00068B175E	12	NA	0	44.6	0
BTBR T+ tf/J	m	00068B2428	12	NA	0	52.2	0
BUB/BnJ	f	000699f7d8	12	NA	0	44.8	0
BUB/BnJ	f	00069a2652	12	NA	0	73.5	0
BUB/BnJ	f	00069a13a4	12	NA	1.63	60	27
BUB/BnJ	f	00069a2af5	12	NA	5.07	97.4	52
BUB/BnJ	f	00069a1fa6	12	NA	15.2	59.1	257
BUB/BnJ	f	00069a2ea4	12	NA	42.8	40.2	1060
BUB/BnJ	f	00069a21e5	12	NA	51.4	59.1	870
BUB/BnJ	f	SC-5237	12	NA	64.4	41.1	1570
BUB/BnJ	m	00069a1427	12	NA	0	112	0
BUB/BnJ	m	00069a1dbc	12	NA	0	107	0
BUB/BnJ	m	00068B0CD2	12	NA	0.95	72.7	13
BUB/BnJ	m	00069a24e6	12	NA	0.99	34.4	29
BUB/BnJ	m	00069a201b	12	NA	1.8	95	19
BUB/BnJ	m	00069a2645	12	NA	2.89	73.9	39
C3H/HeJ	f	00068B0303	12	NA	2.89	86.7	33
C3H/HeJ	f	00068B09E6	12	NA	3.26	90.6	36
C3H/HeJ	f	00068B0291	12	NA	5.54	78.7	70
C3H/HeJ	f	00068B1ED4	12	NA	7.21	77.5	93
C3H/HeJ	f	00068B143D	12	NA	7.92	54.5	145
C3H/HeJ	f	00068B20CD	12	NA	8.47	50.7	167
C3H/HeJ	f	00068AF4C4	12	NA	8.77	81.8	107
C3H/HeJ	f	00068B1E00	12	NA	19.6	86.5	227
C3H/HeJ	m	00068CF17E	12	NA	0	94.2	0
C3H/HeJ	m	00068CFCC0	12	NA	0	107	0
C3H/HeJ	m	00068D1E76	12	NA	0	90.9	0
C3H/HeJ	m	00068D47E4	12	NA	0	89.1	0
C3H/HeJ	m	00068CED4E	12	NA	0.51	87.4	6
C3H/HeJ	m	00068D18C5	12	NA	0.99	90.1	11
C3H/HeJ	m	00068CEBDA	12	NA	1.9	99.1	19
C3H/HeJ	m	00068CF8A3	12	NA	2.18	96.9	22
C57BL/10J	f	00068B08B5	12	NA	0	128	0
C57BL/10J	f	00068CD932	12	NA	0	125	0
C57BL/10J	f	00068CF9DF	12	NA	0	146	0
C57BL/10J	f	00068D0695	12	NA	0	113	0
C57BL/10J	f	00068D11F8	12	NA	0	118	0
C57BL/10J	f	00068D2DFE	12	NA	0	77.7	0
C57BL/10J	f	00068D4378	12	NA	0	92.4	0
C57BL/10J	f	00068CD5FD	12	NA	0.48	67.2	7
C57BL/10J	m	00068B003C	12	NA	0	132	0
C57BL/10J	m	00068B1C23	12	NA	0	128	0
C57BL/10J	m	00068B26BC	12	NA	0	135	0
C57BL/10J	m	00068B2733	12	NA	0	127	0
C57BL/10J	m	00068AF118	12	NA	0.61	128	5
C57BL/10J	m	00068B1A3B	12	NA	1.05	127	8
C57BL/10J	m	00068B2611	12	NA	1.46	130	11
C57BL/10J	m	00068B21B9	12	NA	1.87	135	14
C57BL/6J	f	00068AF373	12	NA	0	54.6	0
C57BL/6J	f	00068B0104	12	NA	0	54	0
C57BL/6J	f	00068B053C	12	NA	0	64.9	0
C57BL/6J	f	00068B0ECA	12	NA	0	82.4	0
C57BL/6J	f	00068B159B	12	NA	0	86.8	0
C57BL/6J	f	00068B1762	12	NA	0	75.9	0
C57BL/6J	f	00068B2AA4	12	NA	0	64.8	0
C57BL/6J	f	00068B0F28	12	NA	2.14	52.8	41
C57BL/6J	m	00068CEDED	12	NA	0	59.6	0
C57BL/6J	m	00068D0A0D	12	NA	0	35.5	0
C57BL/6J	m	00069A0372	12	NA	0	59.4	0
C57BL/6J	m	00069A060E	12	NA	0	68.5	0
C57BL/6J	m	00069A0CA4	12	NA	0	34.2	0
C57BL/6J	m	00069A224D	12	NA	0	32.6	0
C57BL/6J	m	00069A2ABA	12	NA	1.39	54.5	26
C57BL/6J	m	00069A046C	12	NA	2.31	28.9	80
C57BLKS/J	f	00068AF4FF	12	NA	0	91.6	0
C57BLKS/J	f	00068AFAB3	12	NA	0	74.9	0
C57BLKS/J	f	00068B0352	12	NA	0	104	0
C57BLKS/J	f	00068B0D03	12	NA	0	89	0
C57BLKS/J	f	00068B2071	12	NA	1.7	70.7	24
C57BLKS/J	f	00068D3533	12	NA	3.6	97.8	37
C57BLKS/J	f	00068D4258	12	NA	4.11	45.7	90
C57BLKS/J	m	00068AF6AF	12	NA	0	92.3	0
C57BLKS/J	m	00068AF8A4	12	NA	0	60.9	0
C57BLKS/J	m	00068B0AEE	12	NA	0	60.5	0
C57BLKS/J	m	00068B1C11	12	NA	0	63	0
C57BLKS/J	m	00068B1CE6	12	NA	0	83.7	0
C57BLKS/J	m	00068B1E6E	12	NA	0	58.6	0
C57BLKS/J	m	00068AFBE6	12	NA	9.89	72.2	137
C57BR/cdJ	f	00068AF129	12	NA	0	67.6	0
C57BR/cdJ	f	00068AF93E	12	NA	0	61.9	0
C57BR/cdJ	f	00068AFD6A	12	NA	0	73.7	0
C57BR/cdJ	f	00068AFE3F	12	NA	0	93.3	0
C57BR/cdJ	f	00068B09C0	12	NA	0	71.3	0
C57BR/cdJ	f	00068B19CA	12	NA	0	47.2	0
C57BR/cdJ	f	00068B2624	12	NA	0	79	0
C57BR/cdJ	m	00068B0BFC	12	NA	0	70.2	0
C57BR/cdJ	m	00068CD9D8	12	NA	0	45.4	0
C57BR/cdJ	m	00068CDB50	12	NA	0	69.9	0
C57BR/cdJ	m	00068CED44	12	NA	0	71.7	0
C57BR/cdJ	m	00068CEF78	12	NA	0	47	0
C57BR/cdJ	m	00068CFA66	12	NA	0	44.9	0
C57BR/cdJ	m	00068D0331	12	NA	0	54.3	0
C57BR/cdJ	m	00068D1DA1	12	NA	0	54	0
C57L/J	f	00068AFDB4	12	NA	0	51.8	0
C57L/J	f	00068B074E	12	NA	0	70.1	0
C57L/J	f	00068CDFDB	12	NA	0	62.7	0
C57L/J	f	00068CEB08	12	NA	0	119	0
C57L/J	f	00068CF2B6	12	NA	0	52.3	0
C57L/J	f	00068CFB04	12	NA	0	58.5	0
C57L/J	f	00068D14A6	12	NA	0	38.4	0
C57L/J	f	00068CED3E	12	NA	3.2	44.8	71
C57L/J	m	00068B0AB6	12	NA	0	77	0
C57L/J	m	00068CEBDD	12	NA	0	91.6	0
C57L/J	m	00068CF6EC	12	NA	0	81.7	0
C57L/J	m	00068CFE70	12	NA	0	72.1	0
C57L/J	m	00068D07F9	12	NA	0	79.9	0
C57L/J	m	00068D3832	12	NA	0	91.9	0
C57L/J	m	00068CF428	12	NA	4.32	114	38
C57L/J	m	00068CEF7F	12	NA	13	90.7	143
CAST/EiJ	f	00068CD826	12	NA	0	107	0
CAST/EiJ	f	00068CE182	12	NA	0	83.9	0
CAST/EiJ	f	00068CE60A	12	NA	0	78.6	0
CAST/EiJ	f	00068D210A	12	NA	0	91.9	0
CAST/EiJ	f	00068CFC12	12	NA	0.99	72.2	14
