strain	sex	animal_id	animal_facility	bw_start	bw_end	bw_gain	body_length	BMI	GLU	INS	HOMA_IR	CHOL	TG	liver_wt	liver_TG	liver_TG_tot
C57BL/6J	m	962	WAF	19.25	36.84	17.59	10.5	0.33	13.43	512.69	43.12	3.41	0.32	1.41	226	318.43
C57BL/6J	m	963	WAF	20.62	38.35	17.73	10.7	0.34	11.54	125.63	9.08	3.22	0.32	1.35	127	171.58
C57BL/6J	m	964	WAF	17.52	36.68	19.16	10.3	0.35	15.87	286.2	28.45	3.69	0.38	1.27	159	201.93
C57BL/6J	m	965	WAF	18.43	38.51	20.08	10.5	0.35	11.04	95.17	6.58	3.41	0.36	1.46	208	303.68
C57BL/6J	m	966	WAF	16.45	38.02	21.57	10.5	0.35	15.71	214.09	21.06	3.8	0.35	1.39	172	239.6
C57BL/6J	m	967	WAF	19.26	43.16	23.9	10.6	0.38	21.98	268.3	36.93	4.16	0.59	1.25	127	158.62
C57BL/6J	m	968	WAF	21.28	45.82	24.54	10.8	0.39	12.38	224.76	17.42	4.06	0.58	1.61	138	222.18
C57BL/6J	m	969	WAF	22.44	48.64	26.2	10.8	0.42	14.6	416.83	38.1	4.32	0.38	2.17	280	607.32
C57BL/6J	m	970	WAF	19	47.75	28.75	10.6	0.43	18.7	477.23	55.89	4.73	0.57	1.52	199	303.08
C57BL/6J	m	971	WAF	17.62	47.04	29.42	10.3	0.44	19.43	853.96	103.88	4.08	0.31	1.59	232	368.65
C57BL/6J	m	972	WAF	20.15	51.32	31.17	10.9	0.43	20.59	764.3	98.55	6.03	0.5	3.24	387	1255.04
C57BL/6J	m	973	WAF	19.94	48.78	28.84	10.7	0.43	20.37	945.86	120.64	5.02	0.42	2.19	347	758.89
C57BL/6J	m	974	WAF	19.82	49.99	30.17	10.7	0.44	20.81	798.72	104.1	4.52	0.7	2.28	331	756
C57BL/6J	m	975	WAF	20.54	52.55	32.01	10.7	0.46	15.71	733.83	72.18	5.59	0.67	3.32	366	1215.85
C57BL/6J	m	976	WAF	20.02	49.31	29.29	10.7	0.43	22.09	663.45	91.77	5.59	0.58	2.53	350	885.15
C57BL/6J	m	977	WAF	20.31	51.19	30.88	10.8	0.44	17.7	380.69	42.21	5.69	0.68	2.44	341	831.7
C57BL/6J	m	978	WAF	19.45	42.42	22.97	10.6	0.38	18.2	521.64	59.46	5.1	0.65	1.31	174	227.59
C57BL/6J	m	979	WAF	20.01	50.13	30.12	10.7	0.44	19.87	1201.77	149.53	5.43	0.51	2.32	363	842.89
C57BL/6J	m	980	WAF	19.11	48.96	29.85	10.6	0.44	19.98	525.94	65.8	5.3	0.48	2.38	331	788.11
C57BL/6J	m	981	WAF	17.64	33.16	15.52	10.7	0.29	11.32	123.91	8.79	3.02	0.62	1.07	85	90.87
C57BL/6J	m	982	WAF	21.21	39.11	17.9	10.7	0.34	12.82	103.26	8.29	3.67	0.71	1.28	135	172.67
C57BL/6J	m	983	WAF	20.48	47.91	27.43	10.7	0.42	23.03	1143.09	164.87	4.99	0.52	1.87	260	484.9
C57BL/6J	m	984	WAF	20.84	50.23	29.39	10.7	0.44	21.53	660.52	89.07	4.63	0.36	1.87	237	442.72
C57BL/6J	m	985	WAF	20.67	50.76	30.09	10.7	0.44	21.65	481.88	65.32	4.94	0.66	2.17	303	656.3
C57BL/6J	m	986	WAF	21.29	44.05	22.76	11	0.36	15.65	508.04	49.79	3.95	0.51	1.39	138	191.41
C57BL/6J	m	987	WAF	18.85	47.27	28.42	10.7	0.41	16.82	676.18	71.21	4.55	0.68	1.86	305	566.69
C57BL/6J	m	988	WAF	18.78	48.13	29.35	10.7	0.42	19.65	1064.27	130.94	5.1	0.57	2.14	357	762.55
C57BL/6J	m	989	WAF	19.81	48.64	28.83	10.7	0.43	19.43	1341.69	163.2	5.33	0.54	2.33	358	832.71
C57BL/6J	m	990	WAF	20.35	49.69	29.34	10.8	0.43	17.76	1160.13	129.02	4.94	0.42	2.65	368	973.73
C57BL/6J	m	991	WAF	19.45	45.13	25.68	10.6	0.4	14.37	809.9	72.9	5.07	0.5	1.85	299	551.95
C57BL/6J	m	992	WAF	19.97	44	24.03	10.3	0.42	19.43	667.92	81.25	4.71	0.46	1.59	258	409.45
C57BL/6J	m	993	WAF	21.71	50.8	29.09	10.8	0.44	18.04	1626.52	183.72	5.1	0.44	2.62	378	991.87
C57BL/6J	m	994	WAF	19.97	45.82	25.85	10.8	0.39	17.7	379.31	42.05	4.71	0.7	1.39	172	239.25
C57BL/6J	m	995	WAF	22.61	51.62	29.01	11	0.43	17.98	762.58	85.87	4.73	0.91	1.89	283	534.59
C57BL/6J	m	996	WAF	17.62	36.01	18.39	10.6	0.32	13.21	78.48	6.49	3.87	0.54	1.06	116	122.5
C57BL/6J	m	997	WAF	20.15	44.66	24.51	10.5	0.41	19.26	479.81	57.86	4.32	0.58	1.6	218	349.45
C57BL/6J	m	998	WAF	22.25	49.11	26.86	10.8	0.42	17.93	610.09	68.49	4.65	0.49	1.87	242	451.57
C57BL/6J	m	999	WAF	22	49.81	27.81	10.7	0.44	17.26	453.14	48.98	4.39	0.4	1.86	224	416.64
C57BL/6J	m	1000	WAF	18.18	31.1	12.92	10.4	0.29	9.32	26.68	1.56	2.6	0.56	1.12	49	54.73
C57BL/6J	m	1001	WAF	19.8	37.53	17.73	10.5	0.34	12.99	54.56	4.44	3.59	0.55	1.21	130	157.04
C57BL/6J	m	1002	WAF	19.46	41.18	21.72	10.3	0.39	16.87	275.36	29.09	4.13	0.66	1.28	155	198.87
C57BL/6J	m	1003	WAF	18.66	47.62	28.96	10.8	0.41	16.04	574.81	57.73	4.76	0.47	1.7	252	428.65
C57BL/6J	m	1004	WAF	20.52	49.14	28.62	10.8	0.42	17.93	382.75	42.97	4.68	0.46	2.11	301	634.51
C57BL/6J	m	1005	WAF	19.72	50.1	30.38	10.8	0.43	17.93	569.65	63.95	4.55	0.54	2.41	350	842.1
C57BL/6J	m	1006	WAF	19.65	49.22	29.57	10.7	0.43	17.26	362.96	39.23	5.25	0.42	2.9	418	1211.78
C57BL/6J	m	1007	WAF	15.87	38.53	22.66	10.4	0.36	16.76	261.94	27.49	4.6	0.51	1.27	193	245.5
C57BL/6J	m	1008	WAF	19	47.26	28.26	10.7	0.41	20.98	595.81	78.27	4.84	0.71	2.09	295	615.67
C57BL/6J	m	1009	WAF	19.59	41.68	22.09	10.6	0.37	13.93	142.15	12.4	4.29	0.74	1.38	146	201.92
C57BL/6J	m	1010	WAF	18.21	32.7	14.49	10.6	0.29	13.49	37	3.12	3.07	0.54	1.2	118	141.01
